bundle,模块,常量,文件名,形状,长度,列数,有CSV
main,SkinThreeConfig_2035,SkinThreeConfig_2035,SkinThreeConfig_2035.SkinThreeConfig_2035,对象字典,25,5,是
main,SkinThreeConfig_3011,SkinThreeConfig_3011,SkinThreeConfig_3011.SkinThreeConfig_3011,对象字典,55,5,是
main,SkinThreeConfig_3012,SkinThreeConfig_3012,SkinThreeConfig_3012.SkinThreeConfig_3012,对象字典,33,5,是
main,SkinThreeConfig_3017,SkinThreeConfig_3017,SkinThreeConfig_3017.SkinThreeConfig_3017,对象字典,26,5,是
main,SkinThreeConfig_3032,SkinThreeConfig_3032,SkinThreeConfig_3032.SkinThreeConfig_3032,对象字典,55,5,是
main,SkinThreeConfig_4001,SkinThreeConfig_4001,SkinThreeConfig_4001.SkinThreeConfig_4001,对象字典,30,5,是
main,SkinThreeConfig_4003,SkinThreeConfig_4003,SkinThreeConfig_4003.SkinThreeConfig_4003,对象字典,30,5,是
main,SkinThreeConfig_4004,SkinThreeConfig_4004,SkinThreeConfig_4004.SkinThreeConfig_4004,对象字典,29,5,是
main,SkinThreeConfig_4005,SkinThreeConfig_4005,SkinThreeConfig_4005.SkinThreeConfig_4005,对象字典,31,5,是
main,SkinThreeConfig_4007,SkinThreeConfig_4007,SkinThreeConfig_4007.SkinThreeConfig_4007,对象字典,29,5,是
main,SkinThreeConfig_4008,SkinThreeConfig_4008,SkinThreeConfig_4008.SkinThreeConfig_4008,对象字典,35,5,是
main,SkinThreeConfig_4009,SkinThreeConfig_4009,SkinThreeConfig_4009.SkinThreeConfig_4009,对象字典,24,5,是
main,SkinThreeConfig_4010,SkinThreeConfig_4010,SkinThreeConfig_4010.SkinThreeConfig_4010,对象字典,30,5,是
main,SkinThreeConfig_4012,SkinThreeConfig_4012,SkinThreeConfig_4012.SkinThreeConfig_4012,对象字典,28,5,是
main,SkinThreeConfig_4013,SkinThreeConfig_4013,SkinThreeConfig_4013.SkinThreeConfig_4013,对象字典,31,5,是
main,SkinThreeConfig_4019,SkinThreeConfig_4019,SkinThreeConfig_4019.SkinThreeConfig_4019,对象字典,39,5,是
main,SkinThreeConfig_4020,SkinThreeConfig_4020,SkinThreeConfig_4020.SkinThreeConfig_4020,对象字典,36,5,是
main,SkinThreeConfig_4021,SkinThreeConfig_4021,SkinThreeConfig_4021.SkinThreeConfig_4021,对象字典,38,5,是
main,SkinThreeConfig_4026,SkinThreeConfig_4026,SkinThreeConfig_4026.SkinThreeConfig_4026,对象字典,37,5,是
main,SkinThreeConfig_4027,SkinThreeConfig_4027,SkinThreeConfig_4027.SkinThreeConfig_4027,对象字典,39,5,是
main,SkinThreeConfig_4028,SkinThreeConfig_4028,SkinThreeConfig_4028.SkinThreeConfig_4028,对象字典,30,5,是
main,SkinThreeConfig_4033,SkinThreeConfig_4033,SkinThreeConfig_4033.SkinThreeConfig_4033,对象字典,29,5,是
main,SkinThreeConfig_4036,SkinThreeConfig_4036,SkinThreeConfig_4036.SkinThreeConfig_4036,对象字典,40,5,是
main,SkinThreeConfig_4037,SkinThreeConfig_4037,SkinThreeConfig_4037.SkinThreeConfig_4037,对象字典,38,5,是
main,SkinThreeConfig_4039,SkinThreeConfig_4039,SkinThreeConfig_4039.SkinThreeConfig_4039,对象字典,38,5,是
main,SkinThreeConfig_4041,SkinThreeConfig_4041,SkinThreeConfig_4041.SkinThreeConfig_4041,对象字典,43,5,是
main,SkinThreeConfig_4042,SkinThreeConfig_4042,SkinThreeConfig_4042.SkinThreeConfig_4042,对象字典,30,5,是
main,SkinThreeConfig_4045,SkinThreeConfig_4045,SkinThreeConfig_4045.SkinThreeConfig_4045,对象字典,28,5,是
main,SkinThreeConfig_4048,SkinThreeConfig_4048,SkinThreeConfig_4048.SkinThreeConfig_4048,对象字典,38,5,是
main,SkinThreeConfig_4051,SkinThreeConfig_4051,SkinThreeConfig_4051.SkinThreeConfig_4051,对象字典,24,5,是
main,SkinThreeConfig_4054,SkinThreeConfig_4054,SkinThreeConfig_4054.SkinThreeConfig_4054,对象字典,34,5,是
main,SkinThreeConfig_4055,SkinThreeConfig_4055,SkinThreeConfig_4055.SkinThreeConfig_4055,对象字典,33,5,是
main,SkinThreeConfig_4060,SkinThreeConfig_4060,SkinThreeConfig_4060.SkinThreeConfig_4060,对象字典,20,5,是
main,SkinThreeConfig_4061,SkinThreeConfig_4061,SkinThreeConfig_4061.SkinThreeConfig_4061,对象字典,30,5,是
main,SkinThreeConfig_4063,SkinThreeConfig_4063,SkinThreeConfig_4063.SkinThreeConfig_4063,对象字典,30,5,是
main,SkinThreeConfig_4066,SkinThreeConfig_4066,SkinThreeConfig_4066.SkinThreeConfig_4066,对象字典,46,5,是
main,SkinThreeConfig_4072,SkinThreeConfig_4072,SkinThreeConfig_4072.SkinThreeConfig_4072,对象字典,39,5,是
main,SkinThreeConfig_4078,SkinThreeConfig_4078,SkinThreeConfig_4078.SkinThreeConfig_4078,对象字典,32,5,是
main,SkinThreeConfig_4079,SkinThreeConfig_4079,SkinThreeConfig_4079.SkinThreeConfig_4079,对象字典,40,5,是
main,SkinThreeConfig_5005,SkinThreeConfig_5005,SkinThreeConfig_5005.SkinThreeConfig_5005,对象字典,131,7,是
main,SkinThreeConfig_5006,SkinThreeConfig_5006,SkinThreeConfig_5006.SkinThreeConfig_5006,对象字典,170,7,是
main,SkinThreeEliminateSkin4010Custom,colorMap,SkinThreeEliminateSkin4010Custom.colorMap,字典,7,,
main,SkinThreeEliminateSkin4021Custom,COLOR_ID_TO_TYPE_MAP,SkinThreeEliminateSkin4021Custom.COLOR_ID_TO_TYPE_MAP,字典,7,,
main,SkinThreeEliminateSkin4028Custom,COLOR_ANIM_MAP,SkinThreeEliminateSkin4028Custom.COLOR_ANIM_MAP,字典,7,,
main,SkinThreeEliminateSkin4072Custom,COLOR_PREFIX_MAP,SkinThreeEliminateSkin4072Custom.COLOR_PREFIX_MAP,字典,7,,
main,SkinThreeInfo,MATERIAL_SKIN_IDS,SkinThreeInfo.MATERIAL_SKIN_IDS,数组,58,,
main,SkinThreeInfo,MATERIAL_SKIN_NO_SPINE,SkinThreeInfo.MATERIAL_SKIN_NO_SPINE,数组,18,,
main,SkinThreePreEliminateSkin4010Custom,colorMap,SkinThreePreEliminateSkin4010Custom.colorMap,字典,7,,
main,SkinThreePreEliminateSkin4019Custom,COLOR_TO_ANIMATION_MAP,SkinThreePreEliminateSkin4019Custom.COLOR_TO_ANIMATION_MAP,字典,7,,
main,SkinThreePreEliminateSkin4021Custom,COLOR_ID_TO_TYPE_MAP,SkinThreePreEliminateSkin4021Custom.COLOR_ID_TO_TYPE_MAP,字典,7,,
main,SkinThreeSkin2014,_preEliminateConfig,SkinThreeSkin2014._preEliminateConfig,对象数组,2,2,是
main,SkinThreeSkin2018,_initData,SkinThreeSkin2018._initData,字典,9,,
main,SkinThreeSkin2028,_eliminateConfig,SkinThreeSkin2028._eliminateConfig,对象数组,1,2,是
main,SkinThreeSkin2032,_eliminateConfig,SkinThreeSkin2032._eliminateConfig,对象数组,2,2,是
main,SkinThreeSkin3011,_eliminateConfig,SkinThreeSkin3011._eliminateConfig,对象数组,1,2,是
main,SkinThreeSkin3011,_preEliminateConfig,SkinThreeSkin3011._preEliminateConfig,对象数组,1,2,是
main,SkinThreeSkin3017,_eliminateConfig,SkinThreeSkin3017._eliminateConfig,对象数组,1,2,是
main,SkinThreeSkin3032,_eliminateConfig,SkinThreeSkin3032._eliminateConfig,对象数组,1,2,是
main,SkinThreeSkin3032,_preEliminateConfig,SkinThreeSkin3032._preEliminateConfig,对象数组,2,2,是
main,SkinThreeSkin3033,_eliminateConfig,SkinThreeSkin3033._eliminateConfig,对象数组,1,2,是
main,SkinThreeSkin4001,_eliminateConfig,SkinThreeSkin4001._eliminateConfig,对象数组,1,2,是
main,SkinThreeSkin4001,_preEliminateConfig,SkinThreeSkin4001._preEliminateConfig,对象数组,1,2,是
main,SkinThreeSkin4003,_eliminateConfig,SkinThreeSkin4003._eliminateConfig,对象数组,1,2,是
main,SkinThreeSkin4003,_preEliminateConfig,SkinThreeSkin4003._preEliminateConfig,对象数组,1,2,是
main,SkinThreeSkin4004,_eliminateConfig,SkinThreeSkin4004._eliminateConfig,对象数组,1,2,是
main,SkinThreeSkin4005,_eliminateConfig,SkinThreeSkin4005._eliminateConfig,对象数组,1,2,是
main,SkinThreeSkin4007,_eliminateConfig,SkinThreeSkin4007._eliminateConfig,对象数组,1,2,是
main,SkinThreeSkin4007,_preEliminateConfig,SkinThreeSkin4007._preEliminateConfig,对象数组,1,2,是
main,SkinThreeSkin4008,_eliminateConfig,SkinThreeSkin4008._eliminateConfig,对象数组,1,2,是
main,SkinThreeSkin4009,_eliminateConfig,SkinThreeSkin4009._eliminateConfig,对象数组,1,2,是
main,SkinThreeSkin4009,_preEliminateConfig,SkinThreeSkin4009._preEliminateConfig,对象数组,1,2,是
main,SkinThreeSkin4010,_eliminateConfig,SkinThreeSkin4010._eliminateConfig,对象数组,1,2,是
main,SkinThreeSkin4010,_preEliminateConfig,SkinThreeSkin4010._preEliminateConfig,对象数组,1,2,是
main,SkinThreeSkin4012,_eliminateConfig,SkinThreeSkin4012._eliminateConfig,对象数组,1,2,是
main,SkinThreeSkin4013,_eliminateConfig,SkinThreeSkin4013._eliminateConfig,对象数组,1,2,是
main,SkinThreeSkin4013,_preEliminateConfig,SkinThreeSkin4013._preEliminateConfig,对象数组,1,2,是
main,SkinThreeSkin4019,_eliminateConfig,SkinThreeSkin4019._eliminateConfig,对象数组,1,2,是
main,SkinThreeSkin4019,_preEliminateConfig,SkinThreeSkin4019._preEliminateConfig,对象数组,1,2,是
main,SkinThreeSkin4020,_eliminateConfig,SkinThreeSkin4020._eliminateConfig,对象数组,1,2,是
main,SkinThreeSkin4021,_eliminateConfig,SkinThreeSkin4021._eliminateConfig,对象数组,1,2,是
main,SkinThreeSkin4021,_preEliminateConfig,SkinThreeSkin4021._preEliminateConfig,对象数组,1,2,是
main,SkinThreeSkin4026,_eliminateConfig,SkinThreeSkin4026._eliminateConfig,对象数组,1,2,是
main,SkinThreeSkin4026,_preEliminateConfig,SkinThreeSkin4026._preEliminateConfig,对象数组,1,2,是
main,SkinThreeSkin4027,_eliminateConfig,SkinThreeSkin4027._eliminateConfig,对象数组,1,2,是
main,SkinThreeSkin4027,_preEliminateConfig,SkinThreeSkin4027._preEliminateConfig,对象数组,1,2,是
main,SkinThreeSkin4028,_eliminateConfig,SkinThreeSkin4028._eliminateConfig,对象数组,1,2,是
main,SkinThreeSkin4028,_preEliminateConfig,SkinThreeSkin4028._preEliminateConfig,对象数组,1,2,是
main,SkinThreeSkin4033,_eliminateConfig,SkinThreeSkin4033._eliminateConfig,对象数组,1,2,是
main,SkinThreeSkin4033,_eliminateConfig,SkinThreeSkin4033._eliminateConfig__2,对象数组,1,2,是
main,SkinThreeSkin4033,_preEliminateConfig,SkinThreeSkin4033._preEliminateConfig,对象数组,1,2,是
main,SkinThreeSkin4033,_preEliminateConfig,SkinThreeSkin4033._preEliminateConfig__2,对象数组,1,2,是
main,SkinThreeSkin4036,_eliminateConfig,SkinThreeSkin4036._eliminateConfig,对象数组,1,2,是
main,SkinThreeSkin4036,_preEliminateConfig,SkinThreeSkin4036._preEliminateConfig,对象数组,1,2,是
main,SkinThreeSkin4037,_eliminateConfig,SkinThreeSkin4037._eliminateConfig,对象数组,1,2,是
main,SkinThreeSkin4037,_preEliminateConfig,SkinThreeSkin4037._preEliminateConfig,对象数组,1,2,是
main,SkinThreeSkin4039,_eliminateConfig,SkinThreeSkin4039._eliminateConfig,对象数组,1,2,是
main,SkinThreeSkin4039,_preEliminateConfig,SkinThreeSkin4039._preEliminateConfig,对象数组,1,2,是
main,SkinThreeSkin4041,_eliminateConfig,SkinThreeSkin4041._eliminateConfig,对象数组,1,2,是
main,SkinThreeSkin4042,_eliminateConfig,SkinThreeSkin4042._eliminateConfig,对象数组,1,2,是
main,SkinThreeSkin4042,_preEliminateConfig,SkinThreeSkin4042._preEliminateConfig,对象数组,1,2,是
main,SkinThreeSkin4045,_eliminateConfig,SkinThreeSkin4045._eliminateConfig,对象数组,1,2,是
main,SkinThreeSkin4048,_eliminateConfig,SkinThreeSkin4048._eliminateConfig,对象数组,1,2,是
main,SkinThreeSkin4051,_eliminateConfig,SkinThreeSkin4051._eliminateConfig,对象数组,1,2,是
main,SkinThreeSkin4054,_eliminateConfig,SkinThreeSkin4054._eliminateConfig,对象数组,1,2,是
main,SkinThreeSkin4054,_preEliminateConfig,SkinThreeSkin4054._preEliminateConfig,对象数组,1,2,是
main,SkinThreeSkin4055,_eliminateConfig,SkinThreeSkin4055._eliminateConfig,对象数组,1,2,是
main,SkinThreeSkin4055,_preEliminateConfig,SkinThreeSkin4055._preEliminateConfig,对象数组,1,2,是
main,SkinThreeSkin4060,_eliminateConfig,SkinThreeSkin4060._eliminateConfig,对象数组,1,2,是
main,SkinThreeSkin4060,_preEliminateConfig,SkinThreeSkin4060._preEliminateConfig,对象数组,1,2,是
main,SkinThreeSkin4061,_eliminateConfig,SkinThreeSkin4061._eliminateConfig,对象数组,1,2,是
main,SkinThreeSkin4063,_eliminateConfig,SkinThreeSkin4063._eliminateConfig,对象数组,1,2,是
main,SkinThreeSkin4063,_preEliminateConfig,SkinThreeSkin4063._preEliminateConfig,对象数组,1,2,是
main,SkinThreeSkin4066,_eliminateConfig,SkinThreeSkin4066._eliminateConfig,对象数组,1,2,是
main,SkinThreeSkin4072,_eliminateConfig,SkinThreeSkin4072._eliminateConfig,对象数组,1,2,是
main,SkinThreeSkin4078,_eliminateConfig,SkinThreeSkin4078._eliminateConfig,对象数组,1,2,是
main,SkinThreeSkin4078,_preEliminateConfig,SkinThreeSkin4078._preEliminateConfig,对象数组,1,2,是
main,SkinThreeSkin4079,_eliminateConfig,SkinThreeSkin4079._eliminateConfig,对象数组,1,2,是
main,SpriteFrameConfig,SpriteFrameConfig,SpriteFrameConfig.SpriteFrameConfig,对象字典,28,4,是
main,ThemeConfig,defaultThemeArr,ThemeConfig.defaultThemeArr,数组,150,,
main,TraitConfigActiveExtraListInfo,extraGpList,TraitConfigActiveExtraListInfo.extraGpList,对象数组,2,3,是
main,TraitConfigActiveExtraListInfo,extraIosList,TraitConfigActiveExtraListInfo.extraIosList,对象数组,4,3,是
main,TraitConfigActiveExtraListInfo,extraList,TraitConfigActiveExtraListInfo.extraList,对象数组,25,3,是
main,TraitConfigActiveExtraListInfo,gmList,TraitConfigActiveExtraListInfo.gmList,对象数组,4,3,是
main,TraitConfigActiveExtraListInfo,robotList,TraitConfigActiveExtraListInfo.robotList,对象数组,2,3,是
main,TraitSequence,shareTraitTarget,TraitSequence.shareTraitTarget,字典,12,,
main,TraitServerBaseVerificationCofig,FALLBACK_CONFIG,TraitServerBaseVerificationCofig.FALLBACK_CONFIG,字典,4,,
main,TraitServerOneWayDoorConfig,iosOneWayDoorActive,TraitServerOneWayDoorConfig.iosOneWayDoorActive,数组,105,,
main,TraitServerOneWayDoorConfig,oneWayDoorActive,TraitServerOneWayDoorConfig.oneWayDoorActive,数组,470,,
main,TraitServerOneWayDoorConfig,oneWayDoorNewer,TraitServerOneWayDoorConfig.oneWayDoorNewer,数组,571,,
main,TraitServerOuterBoundaryFallbackConfig,OUTER_BOUNDARY_FALLBACK_FEATURE_CONFIGS,TraitServerOuterBoundaryFallbackConfig.OUTER_BOUNDARY_FALLBACK_FEATURE_CONFIGS,对象字典,10,4,是
main,TraitServer_OuterBoundaryFallback_Proxy,FEATURE5_GAME_WAY_NUMS,TraitServer_OuterBoundaryFallback_Proxy.FEATURE5_GAME_WAY_NUMS,数组,20,,
main,TraitServer_OuterBoundaryFallback_Proxy,IOS_FALLBACK_GAME_WAY_NUMS,TraitServer_OuterBoundaryFallback_Proxy.IOS_FALLBACK_GAME_WAY_NUMS,数组,46,,
main,TraitServer_OuterBoundaryFallback_Proxy,IOS_FALLBACK_GAME_WAY_NUMS_2,TraitServer_OuterBoundaryFallback_Proxy.IOS_FALLBACK_GAME_WAY_NUMS_2,数组,11,,
main,TraitServer_OuterBoundaryFallback_Proxy,IOS_FALLBACK_GAME_WAY_NUMS_3,TraitServer_OuterBoundaryFallback_Proxy.IOS_FALLBACK_GAME_WAY_NUMS_3,数组,14,,
main,TraitServer_OuterBoundaryFallback_Proxy,IOS_FALLBACK_GAME_WAY_NUMS_4,TraitServer_OuterBoundaryFallback_Proxy.IOS_FALLBACK_GAME_WAY_NUMS_4,数组,19,,
main,TraitServer_OuterBoundaryFallback_Proxy,IOS_FALLBACK_GAME_WAY_NUMS_5,TraitServer_OuterBoundaryFallback_Proxy.IOS_FALLBACK_GAME_WAY_NUMS_5,数组,16,,
main,TraitsPlatformMap,traitsPlatformMap,TraitsPlatformMap.traitsPlatformMap,字典,7,,
main,algoAtom,config,algoAtom.config,对象数组,1,2,是
main,algoAtom,config,algoAtom.config__10,对象数组,5,2,是
main,algoAtom,config,algoAtom.config__11,对象数组,4,2,是
main,algoAtom,config,algoAtom.config__12,对象数组,3,2,是
main,algoAtom,config,algoAtom.config__13,对象数组,5,2,是
main,algoAtom,config,algoAtom.config__14,对象数组,5,2,是
main,algoAtom,config,algoAtom.config__15,对象数组,3,2,是
main,algoAtom,config,algoAtom.config__16,对象数组,4,2,是
main,algoAtom,config,algoAtom.config__17,对象数组,5,2,是
main,algoAtom,config,algoAtom.config__18,对象数组,2,2,是
main,algoAtom,config,algoAtom.config__19,对象数组,1,2,是
main,algoAtom,config,algoAtom.config__2,对象数组,3,2,是
main,algoAtom,config,algoAtom.config__20,对象数组,6,2,是
main,algoAtom,config,algoAtom.config__21,对象数组,4,2,是
main,algoAtom,config,algoAtom.config__22,对象数组,3,2,是
main,algoAtom,config,algoAtom.config__23,对象数组,6,2,是
main,algoAtom,config,algoAtom.config__24,对象数组,3,2,是
main,algoAtom,config,algoAtom.config__25,对象数组,1,2,是
main,algoAtom,config,algoAtom.config__3,对象数组,1,2,是
main,algoAtom,config,algoAtom.config__4,对象数组,3,2,是
main,algoAtom,config,algoAtom.config__5,对象数组,3,2,是
main,algoAtom,config,algoAtom.config__6,对象数组,3,2,是
main,algoAtom,config,algoAtom.config__7,对象数组,1,2,是
main,algoAtom,config,algoAtom.config__8,对象数组,5,2,是
main,algoAtom,config,algoAtom.config__9,对象数组,4,2,是
main,algoPuzzle,BLOCKS,algoPuzzle.BLOCKS,数组,41,,
main,algoPuzzle,K_ALL_R,algoPuzzle.K_ALL_R,数组,40,,
main,algoPuzzle,_area2ids,algoPuzzle._area2ids,数组,10,,
main,algoPuzzle,_borderNumArr,algoPuzzle._borderNumArr,数组,42,,
main,algoPuzzle,_dieBlockArr,algoPuzzle._dieBlockArr,数组,34,,
main,algoPuzzle,blockInfos,algoPuzzle.blockInfos,对象数组,66,11,是
main,algoPuzzle,fullBoard,algoPuzzle.fullBoard,数组,8,,
main,algoPuzzle,info,algoPuzzle.info,对象数组,52,5,是
mainTraits,$21013_f_CommentPopStartTrait,currData,$21013_f_CommentPopStartTrait.currData,字典,4,,
mainTraits,AdvantureScoreTrait,repNormalTypeList,AdvantureScoreTrait.repNormalTypeList,数组,8,,
mainTraits,CTAgloNameIOSTrait,PRIORITY_ALGORITHMS,CTAgloNameIOSTrait.PRIORITY_ALGORITHMS,对象数组,9,2,是
mainTraits,CTAgloNameTrait,ALGORITHM_MAPPINGS,CTAgloNameTrait.ALGORITHM_MAPPINGS,对象数组,3,2,是
mainTraits,CTAgloNameTrait,PRIORITY_ALGORITHMS,CTAgloNameTrait.PRIORITY_ALGORITHMS,对象数组,14,2,是
mainTraits,CTLogAddAdLogTrait,_classNameExcludeList,CTLogAddAdLogTrait._classNameExcludeList,数组,20,,
mainTraits,CTMergeBlocksAgloNameTrait,ALGORITHM_MAPPINGS,CTMergeBlocksAgloNameTrait.ALGORITHM_MAPPINGS,对象数组,3,2,是
mainTraits,CTMergeBlocksAgloNameTrait,PRIORITY_ALGORITHMS,CTMergeBlocksAgloNameTrait.PRIORITY_ALGORITHMS,对象数组,14,2,是
mainTraits,FillFunctionTrait,blocksArr,FillFunctionTrait.blocksArr,数组,9,,
mainTraits,FirstRoundBlockTrait,localGameData,FirstRoundBlockTrait.localGameData,字典,4,,
mainTraits,IsOpenRightPutTrait,putData,IsOpenRightPutTrait.putData,对象数组,3,5,是
mainTraits,IsOpenSolveDifficultProblemsAmazingTrait,topicNameList,IsOpenSolveDifficultProblemsAmazingTrait.topicNameList,数组,14,,
mainTraits,MainDragonBonesConfig,MainDragonBonesConfig,MainDragonBonesConfig.MainDragonBonesConfig,对象字典,7,5,是
mainTraits,MainTraitAudioConfig ,MainTraitAudioConfig,MainTraitAudioConfig.MainTraitAudioConfig,对象字典,4,5,是
mainTraits,MoreAreaTKXCIOSTrait,param3_round2Score_active_ios,MoreAreaTKXCIOSTrait.param3_round2Score_active_ios,数组,100,,
mainTraits,MoreAreaTKXCIOSTrait,param3_round2Score_newPlayer_ios,MoreAreaTKXCIOSTrait.param3_round2Score_newPlayer_ios,数组,100,,
mainTraits,MoreAreaTKXCTrait,DEFAULT_ACTIVE_PLAYER_ROUND_AVG_SCORES,MoreAreaTKXCTrait.DEFAULT_ACTIVE_PLAYER_ROUND_AVG_SCORES,数组,100,,
mainTraits,MoreAreaTKXCTrait,DEFAULT_NEW_PLAYER_ROUND_AVG_SCORES,MoreAreaTKXCTrait.DEFAULT_NEW_PLAYER_ROUND_AVG_SCORES,数组,100,,
mainTraits,PostGameToServerTrait,dataStatisticsObj,PostGameToServerTrait.dataStatisticsObj,字典,13,,
mainTraits,PromotionMoreGamesInBlockCtrlTrait,SCREEN_HEIGHT_CONFIG,PromotionMoreGamesInBlockCtrlTrait.SCREEN_HEIGHT_CONFIG,对象字典,5,5,是
mainTraits,RemoveAll23Trait,workAlgorithmList,RemoveAll23Trait.workAlgorithmList,数组,11,,
mainTraits,RightPutTrait,RIGHT_PUT_OFFER_TYPES,RightPutTrait.RIGHT_PUT_OFFER_TYPES,数组,15,,
mainTraits,RightPutTrait,putData,RightPutTrait.putData,对象数组,3,5,是
mainTraits,SandMiniPackTrait,returnValue,SandMiniPackTrait.returnValue,字典,6,,
mainTraits,TraitsPrefabConfig,TraitsPrefabConfig,TraitsPrefabConfig.TraitsPrefabConfig,对象字典,20,5,是
mergeBlocks,MergeBlocksAlgorithmStrategyConfig,mergeBlocksWeightRatioArr,MergeBlocksAlgorithmStrategyConfig.mergeBlocksWeightRatioArr,数组,6,,
mergeBlocks,MergeBlocksDataStatisticsInfo,_dataStatisticsObj,MergeBlocksDataStatisticsInfo._dataStatisticsObj,字典,13,,
mergeBlocks,MergeBlocksDefaultInfo2Config,mergeBlocksDefaultInfo2Config,MergeBlocksDefaultInfo2Config.mergeBlocksDefaultInfo2Config,字典,6,,
mergeBlocks,MergeBlocksDefaultInfoArrConfig,mergeBlocksDefaultInfoArrConfig,MergeBlocksDefaultInfoArrConfig.mergeBlocksDefaultInfoArrConfig,数组,60,,
mergeBlocks,MergeBlocksDefaultReduce300,mergeBlocksDefaultReduce300,MergeBlocksDefaultReduce300.mergeBlocksDefaultReduce300,数组,400,,
mergeBlocks,MergeBlocksGuideInfo,steps,MergeBlocksGuideInfo.steps,对象数组,3,9,是
mergeBlocks,MergeBlocksPrefabConfig,MergeBlocksPrefabConfig,MergeBlocksPrefabConfig.MergeBlocksPrefabConfig,对象字典,7,8,是
mergeBlocks,MergeBlocksUserBehaviorConfig,mergeBlocksUseBehaviorAlgorithm,MergeBlocksUserBehaviorConfig.mergeBlocksUseBehaviorAlgorithm,数组,10,,
sandcrush,BlockDropTrailMeshStrategy,CONFIG,BlockDropTrailMeshStrategy.CONFIG,字典,6,,
sandcrush,DailyLoginConfigData,monthRewardsCfg,DailyLoginConfigData.monthRewardsCfg,对象数组,4,3,是
sandcrush,DailyLoginConfigData,monthRewardsCfg,DailyLoginConfigData.monthRewardsCfg__2,对象数组,4,3,是
sandcrush,DailyLoginConfigData,weekRewardsCfg,DailyLoginConfigData.weekRewardsCfg,对象数组,7,5,是
sandcrush,DailyLoginConfigData,weekRewardsCfg,DailyLoginConfigData.weekRewardsCfg__2,对象数组,7,5,是
sandcrush,DragDetectHighlightManager,COLOR_TEXTURE_MAP,DragDetectHighlightManager.COLOR_TEXTURE_MAP,字典,8,,
sandcrush,InitialBoard,InitialBoard,InitialBoard.InitialBoard,数组,63,,
sandcrush,InitialBoard,InitialBoardArrow,InitialBoard.InitialBoardArrow,数组,51,,
sandcrush,InitialBoard,InitialCompetitorBoard,InitialBoard.InitialCompetitorBoard,数组,55,,
sandcrush,InitialBoard,TestBorad,InitialBoard.TestBorad,数组,109,,
sandcrush,LocalPlanConfig,LocalPlan,LocalPlanConfig.LocalPlan,对象字典,4,10,是
sandcrush,MotivationalWordsLight,COLOR_CONFIG,MotivationalWordsLight.COLOR_CONFIG,对象字典,9,4,是
sandcrush,MotivationalWordsMap,MotivationalWordsMap,MotivationalWordsMap.MotivationalWordsMap,字典,4,,
sandcrush,SandActionFactory,SAND_TRIGGERS_GAME,SandActionFactory.SAND_TRIGGERS_GAME,对象数组,2,3,是
sandcrush,SandActionInit,preChooseAlgoInfo,SandActionInit.preChooseAlgoInfo,字典,4,,
sandcrush,SandAdDynamicEmotionTrigger,AD_TRIGGER_CONFIG,SandAdDynamicEmotionTrigger.AD_TRIGGER_CONFIG,字典,5,,
sandcrush,SandAdDynamicEmotionTrigger,PLAYER_CONFIG,SandAdDynamicEmotionTrigger.PLAYER_CONFIG,字典,4,,
sandcrush,SandAlgoContext,preChooseAlgoInfo,SandAlgoContext.preChooseAlgoInfo,字典,4,,
sandcrush,SandAllClearParComponent,colors,SandAllClearParComponent.colors,数组,9,,
sandcrush,SandAllClearParComponent,colorsEffect,SandAllClearParComponent.colorsEffect,数组,9,,
sandcrush,SandAllClearParComponent,colorsEffectNames,SandAllClearParComponent.colorsEffectNames,数组,9,,
sandcrush,SandDefines,SandBlockAlgoInfo,SandDefines.SandBlockAlgoInfo,对象字典,12,3,是
sandcrush,SandGameController,eliminationContext,SandGameController.eliminationContext,字典,13,,
sandcrush,SandLevelModeGem,gemCountList,SandLevelModeGem.gemCountList,对象数组,5,2,是
sandcrush,SandReviveData,unlockColor,SandReviveData.unlockColor,字典,6,,
sandcrush,SandRobotBase,config,SandRobotBase.config,字典,6,,
sandcrush,SandRobotManager,_defaultConfig,SandRobotManager._defaultConfig,字典,6,,
sandcrush,SandUIConfig,DailyLoginUI,SandUIConfig.DailyLoginUI,字典,5,,
sandcrush,SandUIConfig,FeedBackView,SandUIConfig.FeedBackView,字典,5,,
sandcrush,SandUIConfig,NoAdTipsUI,SandUIConfig.NoAdTipsUI,字典,5,,
sandcrush,SandUIConfig,OverLoseFireworks,SandUIConfig.OverLoseFireworks,字典,5,,
sandcrush,SandUIConfig,OverLoseFull,SandUIConfig.OverLoseFull,字典,5,,
sandcrush,SandUIConfig,OverLoseLight,SandUIConfig.OverLoseLight,字典,5,,
sandcrush,SandUIConfig,OverLoseSpeedLine,SandUIConfig.OverLoseSpeedLine,字典,5,,
sandcrush,SandUIConfig,OverLoseUp,SandUIConfig.OverLoseUp,字典,5,,
sandcrush,SandUIConfig,OverSimplify,SandUIConfig.OverSimplify,字典,5,,
sandcrush,SandUIConfig,OverWinFireworks,SandUIConfig.OverWinFireworks,字典,5,,
sandcrush,SandUIConfig,OverWinFull,SandUIConfig.OverWinFull,字典,5,,
sandcrush,SandUIConfig,OverWinLight,SandUIConfig.OverWinLight,字典,5,,
sandcrush,SandUIConfig,OverWinSpeedLine,SandUIConfig.OverWinSpeedLine,字典,5,,
sandcrush,SandUIConfig,OverWinUp,SandUIConfig.OverWinUp,字典,5,,
