机制,源,目标,说明
E 使能器(通用),飞溅,色欲小丑,"所有打出的牌都计分,逐张计分类的触发张数从 2~3 拉满到 5"
E 使能器(通用),飞溅,血石,"所有打出的牌都计分,逐张计分类的触发张数从 2~3 拉满到 5"
E 使能器(通用),飞溅,贪婪小丑,"所有打出的牌都计分,逐张计分类的触发张数从 2~3 拉满到 5"
E 使能器(通用),马戏团长,八号球,"消耗品可同时出现复数张,消耗品流的吞吐翻倍"
E 使能器(通用),马戏团长,占卜师,"消耗品可同时出现复数张,消耗品流的吞吐翻倍"
E 使能器(通用),马戏团长,卡牌术士,"消耗品可同时出现复数张,消耗品流的吞吐翻倍"
E 使能器(通用),马戏团长,卫星,"消耗品可同时出现复数张,消耗品流的吞吐翻倍"
E 使能器(通用),马戏团长,叠加态,"消耗品可同时出现复数张,消耗品流的吞吐翻倍"
E 使能器(通用),马戏团长,天文学家,"消耗品可同时出现复数张,消耗品流的吞吐翻倍"
E 使能器(通用),马戏团长,太空小丑,"消耗品可同时出现复数张,消耗品流的吞吐翻倍"
E 使能器(通用),马戏团长,帕奇欧,"消耗品可同时出现复数张,消耗品流的吞吐翻倍"
E 使能器(通用),马戏团长,幻觉,"消耗品可同时出现复数张,消耗品流的吞吐翻倍"
E 使能器(通用),马戏团长,星座,"消耗品可同时出现复数张,消耗品流的吞吐翻倍"
E 使能器(通用),马戏团长,流浪者,"消耗品可同时出现复数张,消耗品流的吞吐翻倍"
E 使能器(通用),马戏团长,第六感,"消耗品可同时出现复数张,消耗品流的吞吐翻倍"
E 使能器(通用),马戏团长,通灵,"消耗品可同时出现复数张,消耗品流的吞吐翻倍"
O 概率翻倍,六六大顺,八号球,1/4 生成塔罗 -> 1/2
O 概率翻倍,六六大顺,卡文迪什,"⚠ 1/1000 自毁 -> 1/500,反效果"
O 概率翻倍,六六大顺,名片,1/2 给 $2 -> 必定
O 概率翻倍,六六大顺,大麦克香蕉,"⚠ 1/6 自毁 -> 1/3,反效果"
O 概率翻倍,六六大顺,太空小丑,1/4 升级牌型 -> 1/2
O 概率翻倍,六六大顺,幻觉,开包生成塔罗的几率翻倍
O 概率翻倍,六六大顺,招财猫,幸运牌触发率翻倍
O 概率翻倍,六六大顺,私人车位,1/2 给 $1 -> 必定
O 概率翻倍,六六大顺,血石,1/2 给 X1.5 -> 必定触发
P 产销,DNA,蓝色小丑,"DNA 产出牌组张数,蓝色小丑 直接吃这个存量"
P 产销,全息影像,蓝色小丑,"全息影像 产出牌组张数,蓝色小丑 直接吃这个存量"
P 产销,八号球,占卜师,"八号球 产出塔罗牌,占卜师 直接吃这个存量"
P 产销,卡牌术士,占卜师,"卡牌术士 产出塔罗牌,占卜师 直接吃这个存量"
P 产销,叠加态,占卜师,"叠加态 产出塔罗牌,占卜师 直接吃这个存量"
P 产销,大理石小丑,石头小丑,"大理石小丑 产出石头牌,石头小丑 直接吃这个存量"
P 产销,天文学家,卫星,"天文学家 产出星球牌,卫星 直接吃这个存量"
P 产销,天文学家,星座,"天文学家 产出星球牌,星座 直接吃这个存量"
P 产销,太空小丑,超新星,"太空小丑 产出牌型等级,超新星 直接吃这个存量"
P 产销,幻觉,占卜师,"幻觉 产出塔罗牌,占卜师 直接吃这个存量"
P 产销,流浪者,占卜师,"流浪者 产出塔罗牌,占卜师 直接吃这个存量"
P 产销,烧焦小丑,超新星,"烧焦小丑 产出牌型等级,超新星 直接吃这个存量"
P 产销,迈达斯面具,黄金门票,"迈达斯面具 产出黄金牌,黄金门票 直接吃这个存量"
P 产销(反向),DNA,侵蚀,"⚠ DNA 产出牌组张数,反而削弱 侵蚀"
P 产销(反向),全息影像,侵蚀,"⚠ 全息影像 产出牌组张数,反而削弱 侵蚀"
P 外部燃料,塔(塔罗),吸血鬼,"石头牌 不在小丑池里,吸血鬼 的燃料只能靠它产出"
P 外部燃料,塔(塔罗),石头小丑,"石头牌 不在小丑池里,石头小丑 的燃料只能靠它产出"
P 外部燃料,塔(塔罗),驾驶执照,"石头牌 不在小丑池里,驾驶执照 的燃料只能靠它产出"
P 外部燃料,恋人(塔罗),吸血鬼,"万能牌 不在小丑池里,吸血鬼 的燃料只能靠它产出"
P 外部燃料,恋人(塔罗),驾驶执照,"万能牌 不在小丑池里,驾驶执照 的燃料只能靠它产出"
P 外部燃料,恶魔(塔罗),吸血鬼,"黄金牌 不在小丑池里,吸血鬼 的燃料只能靠它产出"
P 外部燃料,恶魔(塔罗),驾驶执照,"黄金牌 不在小丑池里,驾驶执照 的燃料只能靠它产出"
P 外部燃料,恶魔(塔罗),黄金门票,"黄金牌 不在小丑池里,黄金门票 的燃料只能靠它产出"
P 外部燃料,战车(塔罗),吸血鬼,"钢铁牌 不在小丑池里,吸血鬼 的燃料只能靠它产出"
P 外部燃料,战车(塔罗),钢铁小丑,"钢铁牌 不在小丑池里,钢铁小丑 的燃料只能靠它产出"
P 外部燃料,战车(塔罗),驾驶执照,"钢铁牌 不在小丑池里,驾驶执照 的燃料只能靠它产出"
P 外部燃料,教皇(塔罗),吸血鬼,"奖励牌 不在小丑池里,吸血鬼 的燃料只能靠它产出"
P 外部燃料,教皇(塔罗),驾驶执照,"奖励牌 不在小丑池里,驾驶执照 的燃料只能靠它产出"
P 外部燃料,正义(塔罗),吸血鬼,"玻璃牌 不在小丑池里,吸血鬼 的燃料只能靠它产出"
P 外部燃料,正义(塔罗),玻璃小丑,"玻璃牌 不在小丑池里,玻璃小丑 的燃料只能靠它产出"
P 外部燃料,正义(塔罗),驾驶执照,"玻璃牌 不在小丑池里,驾驶执照 的燃料只能靠它产出"
P 外部燃料,皇后(塔罗),吸血鬼,"倍率牌 不在小丑池里,吸血鬼 的燃料只能靠它产出"
P 外部燃料,皇后(塔罗),驾驶执照,"倍率牌 不在小丑池里,驾驶执照 的燃料只能靠它产出"
P 外部燃料,魔术师(塔罗),吸血鬼,"幸运牌 不在小丑池里,吸血鬼 的燃料只能靠它产出"
P 外部燃料,魔术师(塔罗),招财猫,"幸运牌 不在小丑池里,招财猫 的燃料只能靠它产出"
P 外部燃料,魔术师(塔罗),驾驶执照,"幸运牌 不在小丑池里,驾驶执照 的燃料只能靠它产出"
R 重复触发,哑剧演员,射月,"作用于留在手牌中的牌,和「打出的牌」是两批|全量(手牌里每张 Q 给 +13 倍率)"
R 重复触发,哑剧演员,男爵,"作用于留在手牌中的牌,和「打出的牌」是两批|全量(手牌里每张 K 给 X1.5)"
R 重复触发,哑剧演员,私人车位,"作用于留在手牌中的牌,和「打出的牌」是两批|全量(手牌里每张人头牌 1/2 给 $1)"
R 重复触发,哑剧演员,致胜之拳,"作用于留在手牌中的牌,和「打出的牌」是两批|全量(手牌里最小牌点数 ×2 加进倍率)"
R 重复触发,喜与悲,偶像,只作用于打出的人头牌|覆盖 子集(只有人头牌那几张)
R 重复触发,喜与悲,古老小丑,只作用于打出的人头牌|覆盖 子集(只有人头牌那几张)
R 重复触发,喜与悲,徒步者,只作用于打出的人头牌|覆盖 子集(只有人头牌那几张)
R 重复触发,喜与悲,微笑表情,只作用于打出的人头牌|覆盖 全量
R 重复触发,喜与悲,恐怖面孔,只作用于打出的人头牌|覆盖 全量
R 重复触发,喜与悲,愤怒小丑,只作用于打出的人头牌|覆盖 子集(只有人头牌那几张)
R 重复触发,喜与悲,暴食小丑,只作用于打出的人头牌|覆盖 子集(只有人头牌那几张)
R 重复触发,喜与悲,特里布莱,只作用于打出的人头牌|覆盖 全量
R 重复触发,喜与悲,璞玉,只作用于打出的人头牌|覆盖 子集(只有人头牌那几张)
R 重复触发,喜与悲,箭头,只作用于打出的人头牌|覆盖 子集(只有人头牌那几张)
R 重复触发,喜与悲,缟玛瑙,只作用于打出的人头牌|覆盖 子集(只有人头牌那几张)
R 重复触发,喜与悲,色欲小丑,只作用于打出的人头牌|覆盖 子集(只有人头牌那几张)
R 重复触发,喜与悲,血石,只作用于打出的人头牌|覆盖 子集(只有人头牌那几张)
R 重复触发,喜与悲,贪婪小丑,只作用于打出的人头牌|覆盖 子集(只有人头牌那几张)
R 重复触发,未断选票,偶像,"只作用于第一张计分牌,额外触发 2 次|覆盖 仅首张"
R 重复触发,未断选票,偶数史蒂文,"只作用于第一张计分牌,额外触发 2 次|覆盖 仅首张"
R 重复触发,未断选票,古老小丑,"只作用于第一张计分牌,额外触发 2 次|覆盖 仅首张"
R 重复触发,未断选票,奇数托德,"只作用于第一张计分牌,额外触发 2 次|覆盖 仅首张"
R 重复触发,未断选票,学者,"只作用于第一张计分牌,额外触发 2 次|覆盖 仅首张"
R 重复触发,未断选票,对讲机,"只作用于第一张计分牌,额外触发 2 次|覆盖 仅首张"
R 重复触发,未断选票,小小丑,"只作用于第一张计分牌,额外触发 2 次|覆盖 仅首张"
R 重复触发,未断选票,徒步者,"只作用于第一张计分牌,额外触发 2 次|覆盖 仅首张"
R 重复触发,未断选票,微笑表情,"只作用于第一张计分牌,额外触发 2 次|覆盖 仅首张"
R 重复触发,未断选票,恐怖面孔,"只作用于第一张计分牌,额外触发 2 次|覆盖 仅首张"
R 重复触发,未断选票,愤怒小丑,"只作用于第一张计分牌,额外触发 2 次|覆盖 仅首张"
R 重复触发,未断选票,斐波那契,"只作用于第一张计分牌,额外触发 2 次|覆盖 仅首张"
R 重复触发,未断选票,暴食小丑,"只作用于第一张计分牌,额外触发 2 次|覆盖 仅首张"
R 重复触发,未断选票,特里布莱,"只作用于第一张计分牌,额外触发 2 次|覆盖 仅首张"
R 重复触发,未断选票,璞玉,"只作用于第一张计分牌,额外触发 2 次|覆盖 仅首张"
R 重复触发,未断选票,箭头,"只作用于第一张计分牌,额外触发 2 次|覆盖 仅首张"
R 重复触发,未断选票,缟玛瑙,"只作用于第一张计分牌,额外触发 2 次|覆盖 仅首张"
R 重复触发,未断选票,色欲小丑,"只作用于第一张计分牌,额外触发 2 次|覆盖 仅首张"
R 重复触发,未断选票,血石,"只作用于第一张计分牌,额外触发 2 次|覆盖 仅首张"
R 重复触发,未断选票,贪婪小丑,"只作用于第一张计分牌,额外触发 2 次|覆盖 仅首张"
R 重复触发,烂脱口秀演员,偶像,只作用于打出的 2/3/4/5|覆盖 子集(只有 2~5 那几张)
R 重复触发,烂脱口秀演员,偶数史蒂文,只作用于打出的 2/3/4/5|覆盖 子集
R 重复触发,烂脱口秀演员,古老小丑,只作用于打出的 2/3/4/5|覆盖 子集(只有 2~5 那几张)
R 重复触发,烂脱口秀演员,奇数托德,只作用于打出的 2/3/4/5|覆盖 子集
R 重复触发,烂脱口秀演员,对讲机,只作用于打出的 2/3/4/5|覆盖 子集
R 重复触发,烂脱口秀演员,小小丑,只作用于打出的 2/3/4/5|覆盖 子集
R 重复触发,烂脱口秀演员,徒步者,只作用于打出的 2/3/4/5|覆盖 子集(只有 2~5 那几张)
R 重复触发,烂脱口秀演员,愤怒小丑,只作用于打出的 2/3/4/5|覆盖 子集(只有 2~5 那几张)
R 重复触发,烂脱口秀演员,斐波那契,只作用于打出的 2/3/4/5|覆盖 子集
R 重复触发,烂脱口秀演员,暴食小丑,只作用于打出的 2/3/4/5|覆盖 子集(只有 2~5 那几张)
R 重复触发,烂脱口秀演员,璞玉,只作用于打出的 2/3/4/5|覆盖 子集(只有 2~5 那几张)
R 重复触发,烂脱口秀演员,箭头,只作用于打出的 2/3/4/5|覆盖 子集(只有 2~5 那几张)
R 重复触发,烂脱口秀演员,缟玛瑙,只作用于打出的 2/3/4/5|覆盖 子集(只有 2~5 那几张)
R 重复触发,烂脱口秀演员,色欲小丑,只作用于打出的 2/3/4/5|覆盖 子集(只有 2~5 那几张)
R 重复触发,烂脱口秀演员,血石,只作用于打出的 2/3/4/5|覆盖 子集(只有 2~5 那几张)
R 重复触发,烂脱口秀演员,贪婪小丑,只作用于打出的 2/3/4/5|覆盖 子集(只有 2~5 那几张)
R 重复触发,苏打水,偶像,"接下来 10 次出牌,全部打出的牌各多触发 1 次|覆盖 全量"
R 重复触发,苏打水,偶数史蒂文,"接下来 10 次出牌,全部打出的牌各多触发 1 次|覆盖 全量"
R 重复触发,苏打水,古老小丑,"接下来 10 次出牌,全部打出的牌各多触发 1 次|覆盖 全量"
R 重复触发,苏打水,奇数托德,"接下来 10 次出牌,全部打出的牌各多触发 1 次|覆盖 全量"
R 重复触发,苏打水,学者,"接下来 10 次出牌,全部打出的牌各多触发 1 次|覆盖 全量"
R 重复触发,苏打水,对讲机,"接下来 10 次出牌,全部打出的牌各多触发 1 次|覆盖 全量"
R 重复触发,苏打水,小小丑,"接下来 10 次出牌,全部打出的牌各多触发 1 次|覆盖 全量"
R 重复触发,苏打水,徒步者,"接下来 10 次出牌,全部打出的牌各多触发 1 次|覆盖 全量"
R 重复触发,苏打水,微笑表情,"接下来 10 次出牌,全部打出的牌各多触发 1 次|覆盖 全量"
R 重复触发,苏打水,恐怖面孔,"接下来 10 次出牌,全部打出的牌各多触发 1 次|覆盖 全量"
R 重复触发,苏打水,愤怒小丑,"接下来 10 次出牌,全部打出的牌各多触发 1 次|覆盖 全量"
R 重复触发,苏打水,斐波那契,"接下来 10 次出牌,全部打出的牌各多触发 1 次|覆盖 全量"
R 重复触发,苏打水,暴食小丑,"接下来 10 次出牌,全部打出的牌各多触发 1 次|覆盖 全量"
R 重复触发,苏打水,特里布莱,"接下来 10 次出牌,全部打出的牌各多触发 1 次|覆盖 全量"
R 重复触发,苏打水,璞玉,"接下来 10 次出牌,全部打出的牌各多触发 1 次|覆盖 全量"
R 重复触发,苏打水,箭头,"接下来 10 次出牌,全部打出的牌各多触发 1 次|覆盖 全量"
R 重复触发,苏打水,缟玛瑙,"接下来 10 次出牌,全部打出的牌各多触发 1 次|覆盖 全量"
R 重复触发,苏打水,色欲小丑,"接下来 10 次出牌,全部打出的牌各多触发 1 次|覆盖 全量"
R 重复触发,苏打水,血石,"接下来 10 次出牌,全部打出的牌各多触发 1 次|覆盖 全量"
R 重复触发,苏打水,贪婪小丑,"接下来 10 次出牌,全部打出的牌各多触发 1 次|覆盖 全量"
R 重复触发,黄昏,偶像,"每回合最后一次出牌,全部打出的牌各多触发 1 次|覆盖 全量"
R 重复触发,黄昏,偶数史蒂文,"每回合最后一次出牌,全部打出的牌各多触发 1 次|覆盖 全量"
R 重复触发,黄昏,古老小丑,"每回合最后一次出牌,全部打出的牌各多触发 1 次|覆盖 全量"
R 重复触发,黄昏,奇数托德,"每回合最后一次出牌,全部打出的牌各多触发 1 次|覆盖 全量"
R 重复触发,黄昏,学者,"每回合最后一次出牌,全部打出的牌各多触发 1 次|覆盖 全量"
R 重复触发,黄昏,对讲机,"每回合最后一次出牌,全部打出的牌各多触发 1 次|覆盖 全量"
R 重复触发,黄昏,小小丑,"每回合最后一次出牌,全部打出的牌各多触发 1 次|覆盖 全量"
R 重复触发,黄昏,徒步者,"每回合最后一次出牌,全部打出的牌各多触发 1 次|覆盖 全量"
R 重复触发,黄昏,微笑表情,"每回合最后一次出牌,全部打出的牌各多触发 1 次|覆盖 全量"
R 重复触发,黄昏,恐怖面孔,"每回合最后一次出牌,全部打出的牌各多触发 1 次|覆盖 全量"
R 重复触发,黄昏,愤怒小丑,"每回合最后一次出牌,全部打出的牌各多触发 1 次|覆盖 全量"
R 重复触发,黄昏,斐波那契,"每回合最后一次出牌,全部打出的牌各多触发 1 次|覆盖 全量"
R 重复触发,黄昏,暴食小丑,"每回合最后一次出牌,全部打出的牌各多触发 1 次|覆盖 全量"
R 重复触发,黄昏,特里布莱,"每回合最后一次出牌,全部打出的牌各多触发 1 次|覆盖 全量"
R 重复触发,黄昏,璞玉,"每回合最后一次出牌,全部打出的牌各多触发 1 次|覆盖 全量"
R 重复触发,黄昏,箭头,"每回合最后一次出牌,全部打出的牌各多触发 1 次|覆盖 全量"
R 重复触发,黄昏,缟玛瑙,"每回合最后一次出牌,全部打出的牌各多触发 1 次|覆盖 全量"
R 重复触发,黄昏,色欲小丑,"每回合最后一次出牌,全部打出的牌各多触发 1 次|覆盖 全量"
R 重复触发,黄昏,血石,"每回合最后一次出牌,全部打出的牌各多触发 1 次|覆盖 全量"
R 重复触发,黄昏,贪婪小丑,"每回合最后一次出牌,全部打出的牌各多触发 1 次|覆盖 全量"
