boardId,boardData,producerBlocks,blocksColors,guideTargetCell,move,spineTargetPositions
61,"[[-1, -1, 2, 2, -1, -1, -1, -1], [-1, -1, 2, 6, -1, 5, 5, -1], [-1, -1, -1, -1, 6, 6, 5, -1], [-1, -1, -1, -1, 6, -1, -1, -1], [-1, -1, -1, -1, 6, -1, -1, -1], [-1, -1, 1, 1, 1, 1, 1, -1], [-1, -1, 1, 1, 1, 1, 1, -1], [-1, -1, -1, 1, 1, 1, -1, -1]]","[29, 35, 34]","[6, 7, 5]",,,
62,"[[-1, -1, 2, 2, 2, 2, -1, -1], [-1, 2, -1, -1, -1, -1, 2, -1], [-1, -1, -1, -1, -1, -1, -1, -1], [-1, 3, -1, -1, -1, -1, 3, -1], [-1, -1, 3, 3, 3, 3, -1, -1], [-1, 7, -1, -1, -1, -1, 7, -1], [7, -1, 7, -1, -1, 7, -1, 7], [-1, -1, 7, -1, -1, 7, -1, -1]]","[38, 14, 37]","[6, 7, 5]",,,
63,"[[-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, -1, -1, -1, -1, -1, -1], [3, 3, 3, -1, -1, 3, 3, 3], [3, -1, 5, -1, -1, 5, -1, 3], [-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, -1, 6, 5, -1, -1, -1], [-1, -1, -1, 5, 6, -1, -1, -1]]","[35, 10, 36]","[4, 7, 2]",,,
64,"[[-1, -1, 4, 2, 2, 6, -1, -1], [-1, -1, -1, 2, -1, -1, 2, -1], [-1, -1, -1, -1, 3, -1, -1, 5], [-1, -1, -1, -1, 2, -1, -1, 2], [-1, -1, -1, -1, 1, -1, -1, 1], [-1, -1, -1, -1, 2, -1, -1, 2], [-1, -1, -1, 5, -1, -1, 3, -1], [-1, -1, 7, 2, 4, 2, -1, -1]]","[4, 36, 14]","[6, 2, 2]",,,
65,"[[-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, 2, 2, -1, 2, 2, -1], [-1, -1, -1, 7, 2, 7, -1, -1], [-1, -1, -1, 2, 3, 2, -1, -1], [-1, -1, -1, 2, -1, -1, -1, -1], [3, -1, -1, 2, -1, -1, -1, -1], [3, 3, 2, 2, -1, -1, -1, -1], [-1, 2, 2, 2, 2, -1, -1, -1]]","[30, 26, 13]","[4, 2, 4]",,,
66,"[[-1, -1, 6, -1, -1, 6, -1, -1], [-1, 5, 5, 5, 5, 5, 5, -1], [5, -1, 2, -1, -1, 2, -1, 5], [5, -1, -1, -1, -1, -1, -1, 5], [5, -1, -1, 5, 5, -1, -1, 5], [-1, 6, 5, 5, 5, 5, 6, -1], [-1, -1, -1, 5, 5, -1, -1, -1], [-1, -1, 6, 5, 5, 6, -1, -1]]","[25, 9, 20]","[4, 2, 7]",,,
67,"[[-1, -1, -1, -1, -1, -1, -1, -1], [-1, 4, 4, -1, 3, -1, -1, -1], [-1, 4, 4, -1, -1, 3, -1, -1], [4, 7, 7, 3, 3, 3, 3, -1], [4, 4, 4, 4, -1, 3, -1, -1], [-1, 7, 7, -1, -1, 3, -1, -1], [-1, 7, 7, -1, 3, -1, -1, -1], [-1, -1, -1, -1, -1, -1, -1, -1]]","[19, 9, 21]","[7, 5, 2]",,,
68,"[[-1, -1, 4, 4, -1, -1, -1, -1], [-1, -1, 4, 4, -1, -1, -1, -1], [4, 4, 7, 7, 4, 4, 4, -1], [-1, -1, 7, 7, -1, -1, -1, -1], [-1, 4, 7, 7, 4, -1, -1, -1], [-1, 4, -1, -1, -1, 4, -1, 3], [3, 3, 3, 3, 3, 3, 3, -1], [-1, 6, -1, -1, -1, 6, -1, -1]]","[6, 26, 19]","[2, 5, 6]",,,
69,"[[-1, -1, -1, 4, 2, 4, -1, -1], [-1, -1, 2, 4, 2, -1, -1, -1], [-1, 4, 2, 4, 2, 4, -1, 4], [2, -1, 2, 4, 2, 4, 2, 4], [-1, 4, 2, 4, 2, 4, -1, 4], [-1, -1, 2, 4, 2, -1, -1, -1], [-1, -1, -1, 4, 4, 4, -1, -1], [-1, -1, -1, -1, -1, -1, -1, -1]]","[20, 10, 26]","[6, 1, 5]",,,
70,"[[-1, 2, 2, 2, 2, 2, 2, -1], [2, -1, -1, 2, 2, -1, -1, 2], [2, 2, -1, -1, -1, -1, 2, 2], [-1, 7, 6, 5, 4, 3, 1, -1], [2, 2, -1, 2, 2, -1, 2, 2], [2, -1, -1, 2, 2, -1, -1, 2], [2, -1, 2, 2, 2, 2, -1, 2], [-1, 2, 2, 2, 2, 2, 2, -1]]","[19, 14, 16]","[6, 5, 7]",,,
71,"[[-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, -1, 1, -1, -1, -1, -1], [-1, -1, 1, 1, 1, -1, -1, -1], [-1, 1, 1, 1, 1, 1, -1, -1], [1, 1, 1, 1, 1, 1, 1, -1], [-1, 2, -1, 2, -1, 2, -1, -1], [-1, 2, 2, 2, 2, 2, -1, -1], [6, 6, 6, 6, 6, 6, 6, -1]]","[16, 25, 20]","[6, 7, 7]",,,
72,"[[-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, -1, 2, 7, -1, -1, -1], [-1, -1, 7, 2, 7, 7, -1, -1], [-1, 7, 7, 2, 7, 7, -1, -1], [7, 7, 7, 2, 7, 7, 7, -1], [-1, -1, -1, 2, -1, -1, -1, -1], [4, 4, 4, 4, 4, 4, 4, -1], [-1, 4, 4, 4, 4, 4, -1, -1]]","[6, 28, 25]","[5, 2, 4]",,,
73,"[[-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, 3, 3, 3, 3, 3, -1], [-1, -1, 3, 2, 3, 2, 3, -1], [-1, 3, 3, 3, 3, 3, 3, 3], [-1, -1, 3, 5, 5, 5, 3, -1], [-1, -1, 3, 3, 3, 3, 3, -1], [-1, -1, 3, -1, -1, -1, 3, -1], [-1, -1, 3, -1, -1, -1, 3, -1]]","[7, 12, 25]","[4, 7, 7]",,,
74,"[[-1, -1, 7, -1, 7, -1, -1, -1], [-1, -1, 7, 7, -1, -1, -1, -1], [-1, 7, 7, -1, -1, -1, -1, -1], [1, 7, 7, -1, -1, -1, 7, -1], [-1, 7, 7, 7, -1, -1, 7, -1], [7, 7, 7, 7, 7, 7, -1, -1], [7, -1, -1, -1, 7, 7, 7, -1], [-1, 4, -1, -1, -1, -1, -1, 4]]","[8, 18, 25]","[4, 2, 6]",,,
75,"[[-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, -1, 1, 1, 1, -1, -1], [-1, -1, 1, 1, 1, 1, 1, -1], [-1, 1, 1, 1, 1, 1, 1, 1], [-1, 1, 1, 1, 1, 1, 1, 1], [-1, 7, -1, -1, 7, -1, -1, 7], [7, -1, -1, 7, -1, -1, 7, -1], [-1, -1, -1, -1, -1, -1, -1, -1]]","[14, 14, 31]","[5, 5, 2]",,,
76,"[[-1, -1, -1, -1, -1, -1, 4, 4], [-1, -1, -1, 4, 4, -1, 4, 4], [-1, -1, -1, -1, -1, 2, -1, -1], [6, -1, -1, 7, 2, 2, 4, 4], [-1, 4, -1, 7, 7, -1, -1, -1], [-1, -1, 4, 4, -1, 4, -1, -1], [-1, -1, -1, -1, -1, 4, -1, -1], [-1, -1, -1, -1, -1, 6, -1, -1]]","[38, 21, 12]","[7, 2, 5]",,,
77,"[[-1, 2, -1, -1, 2, -1, -1, -1], [-1, 4, 4, 4, 4, -1, -1, -1], [-1, 1, 4, 1, 4, -1, -1, 2], [4, 4, 4, 4, 4, -1, 2, -1], [4, 4, 4, 4, 4, 4, 4, -1], [-1, -1, 4, 4, 4, 4, 4, 4], [-1, 4, -1, -1, 4, -1, 4, 4], [-1, 2, -1, 2, -1, -1, 2, 2]]","[6, 31, 28]","[6, 4, 5]",,,
78,"[[3, -1, 3, -1, -1, 3, -1, 3], [3, 3, 3, -1, -1, 3, 3, 3], [-1, 3, -1, -1, -1, -1, 3, -1], [-1, -1, 7, -1, -1, 7, -1, -1], [-1, 2, 3, 3, 3, 3, 2, -1], [-1, 2, 3, 3, 3, 3, 2, -1], [-1, 2, 3, 3, 3, 3, 2, -1], [-1, 2, -1, -1, -1, -1, 2, -1]]","[9, 39, 41]","[7, 2, 4]",,,
79,"[[-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, -1, 1, 1, 1, -1, -1], [-1, -1, 1, 1, 1, 1, 1, -1], [-1, 1, 1, 5, 1, 5, 1, 1], [-1, 1, 1, 5, 1, 5, 1, 1], [-1, 1, 1, 1, 1, 1, 1, 1], [-1, 1, 1, 1, 1, 1, 1, 1], [-1, 1, -1, 1, -1, 1, -1, 1]]","[25, 17, 29]","[4, 4, 2]",,,
80,"[[-1, -1, -1, 2, 2, -1, -1, 1], [-1, -1, 2, 2, 2, 2, -1, 1], [-1, -1, 2, 2, 2, 2, -1, 1], [-1, -1, 3, 2, 2, 3, -1, 1], [-1, 2, 3, 3, 3, 3, 2, 2], [-1, 2, 5, 5, 5, 5, -1, -1], [-1, -1, 5, 5, 5, 5, -1, -1], [-1, -1, 2, -1, -1, 2, -1, -1]]","[32, 36, 9]","[2, 4, 7]",,,
81,"[[-1, -1, 4, 4, -1, -1, -1, -1], [-1, -1, 4, 4, -1, 4, -1, -1], [4, 4, 7, 7, 4, 4, -1, -1], [4, -1, 7, 7, -1, -1, -1, -1], [-1, -1, 7, 7, -1, -1, 1, 1], [-1, 4, -1, -1, 4, -1, 1, 1], [-1, 4, -1, -1, 4, 4, 6, -1], [-1, 6, -1, -1, -1, -1, -1, -1]]","[19, 36, 15]","[4, 2, 7]",,,
82,"[[-1, -1, 5, -1, -1, 5, -1, -1], [-1, 5, 2, 5, 5, 2, 5, -1], [5, 2, 4, -1, -1, 4, 2, 5], [5, 2, 4, -1, -1, 4, 2, 5], [5, 2, 4, -1, -1, 4, 2, 5], [-1, 5, 2, 4, 4, 2, 5, -1], [-1, -1, 5, 2, 2, 5, -1, -1], [-1, -1, -1, 5, 5, -1, -1, -1]]","[9, 6, 15]","[4, 2, 6]",,,
83,"[[-1, -1, -1, -1, -1, -1, -1, -1], [1, 1, 1, -1, -1, 1, 1, 1], [1, -1, -1, 6, 4, -1, -1, 1], [1, -1, -1, 3, 5, -1, -1, 1], [2, 2, 2, -1, -1, 2, 2, 2], [-1, -1, 2, -1, -1, 2, -1, -1], [-1, -1, 2, -1, -1, 2, -1, -1], [-1, -1, 1, 1, 1, 1, -1, -1]]","[36, 9, 9]","[4, 2, 7]",,,
84,"[[-1, -1, -1, -1, -1, 6, -1, -1], [-1, -1, 6, 6, 6, 6, 6, -1], [-1, 5, 7, 5, 5, 5, 7, 5], [-1, 5, 5, 7, 5, 5, 5, 5], [-1, 5, 5, 5, 5, 7, 5, 5], [-1, -1, 5, 5, 7, 5, 5, -1], [-1, -1, -1, 5, 5, 5, -1, -1], [-1, -1, -1, -1, 5, -1, -1, -1]]","[9, 25, 10]","[4, 7, 7]",,,
85,"[[-1, -1, -1, 5, 5, -1, -1, -1], [-1, -1, 4, 4, 4, 4, -1, -1], [-1, 2, 2, 2, 2, 2, 2, -1], [-1, 6, 6, 6, 6, 6, 6, -1], [-1, -1, -1, -1, 3, -1, -1, -1], [-1, -1, -1, -1, 3, -1, -1, -1], [-1, -1, 3, -1, 3, -1, -1, -1], [-1, -1, -1, 3, -1, -1, -1, -1]]","[32, 35, 31]","[4, 7, 7]",,,
86,"[[1, -1, -1, -1, -1, -1, -1, 1], [1, 1, -1, -1, -1, -1, 1, 1], [-1, 1, -1, -1, -1, -1, 1, -1], [2, 2, 2, -1, -1, 2, 2, 2], [-1, 2, 2, 2, 2, 2, 2, -1], [-1, 2, 7, 2, 2, 7, 2, -1], [-1, 2, 2, 2, 2, 2, 2, -1], [-1, -1, 2, 7, 7, 2, -1, -1]]","[29, 42, 14]","[4, 6, 6]",,,
87,"[[-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, 7, 7, 7, 7, -1, -1], [-1, -1, 7, -1, -1, 7, -1, -1], [-1, -1, 7, -1, -1, 7, -1, -1], [-1, 2, 2, 2, 2, 2, 2, -1], [-1, 2, 1, 2, 2, 3, 2, -1], [-1, 5, 2, 6, 4, 2, 7, -1], [-1, 2, 2, 2, 2, 2, 2, -1]]","[27, 9, 31]","[4, 2, 7]",,,
88,"[[-1, -1, -1, -1, -1, -1, -1, -1], [-1, 2, 2, -1, -1, 2, 2, -1], [2, -1, 2, -1, -1, 2, -1, 2], [2, -1, 2, 4, 4, 2, -1, 2], [2, -1, -1, 4, 4, -1, -1, 2], [-1, 7, 7, -1, -1, 7, 7, -1], [-1, 7, -1, -1, -1, -1, 7, -1], [-1, -1, 7, 7, 7, 7, -1, -1]]","[14, 42, 29]","[5, 2, 4]",,,
89,"[[-1, -1, -1, -1, -1, -1, -1, -1], [-1, 7, -1, -1, -1, -1, 7, -1], [-1, 7, -1, -1, -1, -1, 7, -1], [-1, 7, 7, 7, 7, 7, 7, -1], [-1, 2, -1, 7, 7, -1, 2, -1], [7, -1, -1, 7, 7, -1, -1, 7], [7, -1, 7, 7, 7, 7, -1, 7], [-1, 7, 7, -1, -1, 7, 7, -1]]","[16, 19, 29]","[4, 4, 2]",,,
90,"[[-1, -1, 5, 5, 5, 5, -1, -1], [-1, 5, -1, 2, -1, -1, 5, -1], [5, -1, -1, 2, -1, -1, -1, 5], [5, -1, -1, 2, -1, -1, -1, 5], [5, -1, -1, 2, 2, 2, -1, 5], [5, -1, -1, -1, -1, -1, -1, 5], [-1, 5, -1, -1, -1, -1, 5, -1], [-1, -1, 5, 5, 5, 5, -1, -1]]","[27, 17, 28]","[3, 7, 4]",,,
91,"[[-1, -1, -1, -1, -1, -1, -1, -1], [-1, 7, -1, -1, -1, 7, -1, -1], [-1, 7, 2, 2, 2, 7, 7, 7], [-1, 7, 2, 2, 2, 7, -1, 7], [-1, 7, 2, 2, 2, 7, 7, 7], [-1, 7, 2, 2, 2, 7, -1, -1], [-1, 7, 7, 7, 7, 7, -1, -1], [-1, -1, -1, -1, -1, -1, -1, -1]]","[7, 9, 33]","[5, 3, 3]",,,
92,"[[-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, -1, 1, 1, 1, -1, -1], [-1, -1, -1, 1, -1, -1, -1, -1], [-1, 7, -1, 1, -1, 7, -1, -1], [-1, 7, 2, 1, 2, 7, -1, -1], [-1, 7, 2, 1, 2, 7, -1, -1], [-1, 7, 2, 2, 2, 7, -1, -1], [-1, 7, 7, 7, 7, 7, -1, -1]]","[6, 25, 36]","[6, 2, 4]",,,
93,"[[-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, 5, 4, 2, 6, -1, -1], [-1, 6, 3, 1, 7, 2, 4, -1], [5, 4, 2, -1, -1, 6, 5, 5], [7, 3, -1, -1, -1, -1, 4, 3], [-1, -1, -1, -1, -1, -1, -1, -1]]","[18, 19, 16]","[6, 2, 4]",,,
94,"[[-1, -1, -1, 7, -1, -1, -1, -1], [-1, -1, -1, 7, -1, -1, -1, -1], [-1, -1, 7, 1, 7, -1, -1, -1], [-1, 7, 7, 1, 7, 7, -1, -1], [7, 7, 7, 7, 7, 7, 7, -1], [-1, -1, -1, 7, -1, -1, -1, -1], [-1, 7, 7, 7, 7, 7, -1, -1], [-1, -1, 5, -1, 5, -1, -1, -1]]","[7, 34, 30]","[4, 7, 7]",,,
95,"[[-1, 2, 2, 2, 2, -1, -1, -1], [-1, 2, 7, 2, 2, -1, -1, -1], [4, 2, 2, 2, 2, -1, -1, 2], [-1, -1, 2, 2, -1, -1, 2, 2], [-1, -1, 2, 2, 2, 2, 2, 2], [-1, 2, 2, 2, 2, 2, 2, 2], [-1, 2, 2, 2, 2, 2, 2, -1], [-1, -1, -1, -1, -1, -1, -1, -1]]","[9, 9, 14]","[4, 5, 5]",,,
96,"[[-1, -1, 6, -1, -1, -1, -1, -1], [-1, 6, 6, -1, -1, -1, -1, -1], [6, 6, 6, 2, 2, -1, -1, -1], [-1, -1, 2, 2, 2, 2, -1, -1], [-1, -1, 2, 2, 2, 2, -1, -1], [-1, -1, -1, 2, 2, 6, 6, 6], [-1, -1, -1, -1, -1, 6, 6, -1], [-1, -1, -1, -1, -1, 6, -1, -1]]","[9, 13, 9]","[5, 6, 6]",,,
97,"[[2, 2, 2, 2, 2, 2, 2, -1], [-1, -1, -1, 2, -1, -1, -1, -1], [4, -1, 4, 4, 4, 4, -1, -1], [4, 4, 4, 4, 1, 1, 4, -1], [4, -1, 4, 4, 4, 4, 4, -1], [-1, -1, -1, 2, -1, 2, -1, -1], [-1, -1, 2, 2, 2, 2, 2, -1], [-1, -1, -1, -1, -1, -1, -1, -1]]","[26, 10, 32]","[7, 7, 4]",,,
98,"[[-1, -1, -1, -1, -1, 4, 4, -1], [-1, -1, 4, 4, -1, 4, 4, -1], [-1, -1, -1, -1, 7, -1, -1, -1], [-1, -1, 7, 7, 7, 4, 4, -1], [6, -1, 7, 7, -1, -1, -1, -1], [-1, 4, 4, -1, 4, -1, -1, -1], [-1, -1, -1, -1, 4, -1, 1, 1], [-1, -1, -1, -1, 6, -1, 1, 1]]","[2, 21, 12]","[4, 7, 2]",,,
99,"[[1, 1, 1, -1, -1, -1, -1, -1], [-1, 1, 1, 2, -1, 1, 1, 1], [-1, 1, 1, 1, 2, -1, 1, 1], [-1, -1, -1, 1, 1, 2, -1, 1], [1, 1, 1, -1, -1, -1, -1, -1], [1, -1, 1, -1, -1, -1, -1, -1], [-1, -1, -1, -1, -1, -1, -1, -1], [1, 1, 1, -1, -1, -1, -1, -1]]","[23, 10, 39]","[7, 7, 4]",,,
100,"[[-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, 4, 4, 4, -1, -1, -1], [-1, 4, -1, -1, -1, 4, -1, -1], [4, -1, -1, -1, -1, -1, 4, -1], [4, 4, 4, 4, 4, 4, 4, -1], [-1, 2, -1, -1, -1, 2, -1, -1], [-1, -1, -1, -1, -1, -1, -1, -1]]","[10, 29, 18]","[3, 4, 7]",,,
101,"[[-1, 2, -1, -1, -1, -1, 2, -1], [-1, -1, 2, -1, -1, 2, -1, -1], [-1, 2, 2, 2, 2, 2, 2, -1], [2, -1, -1, -1, -1, -1, -1, 2], [2, -1, 7, -1, -1, 7, -1, 2], [2, -1, -1, -1, -1, -1, -1, 2], [2, -1, 2, 2, 2, 2, -1, 2], [-1, 2, 2, 2, 2, 2, 2, -1]]","[9, 20, 25]","[2, 4, 7]",,,
102,"[[-1, -1, -1, -1, -1, -1, -1, -1], [3, 3, 3, 3, 3, 3, 3, -1], [-1, -1, -1, 2, 2, 2, 2, -1], [-1, 1, 1, 2, 1, 1, 2, 1], [-1, -1, -1, 2, -1, -1, 2, -1], [5, 5, 2, 2, 5, 5, 2, -1], [-1, -1, -1, -1, -1, 2, 2, -1], [-1, -1, 6, 6, 6, 6, 6, 6]]","[9, 8, 12]","[2, 4, 7]",,,
103,"[[-1, -1, -1, 4, 4, -1, -1, -1], [-1, -1, 4, -1, -1, 4, -1, -1], [-1, 4, -1, -1, -1, -1, 4, -1], [4, -1, -1, -1, -1, -1, -1, 4], [4, -1, 4, 4, 4, 4, -1, 4], [-1, 2, -1, -1, -1, -1, 2, -1], [-1, 2, -1, 2, 2, -1, 2, -1], [-1, 2, -1, 2, 2, -1, 2, -1]]","[19, 36, 16]","[4, 6, 6]",,,
104,"[[-1, 2, 2, 2, 2, 2, 2, -1], [-1, 2, -1, -1, -1, 2, -1, -1], [-1, 2, -1, 7, -1, 2, 4, -1], [2, 2, -1, -1, -1, 2, 4, 4], [2, 2, 2, 2, 2, 2, -1, -1], [-1, -1, 4, -1, -1, 4, -1, -1], [-1, -1, 4, 4, -1, 4, 4, -1], [-1, -1, -1, -1, -1, -1, -1, -1]]","[25, 34, 33]","[6, 4, 5]",,,
105,"[[-1, 6, -1, -1, -1, -1, -1, -1], [-1, 6, -1, -1, -1, -1, -1, -1], [6, 6, 6, -1, -1, -1, -1, -1], [6, 5, 6, -1, -1, -1, -1, -1], [5, 5, 5, -1, -1, -1, -1, 5], [5, 5, 5, 5, -1, 5, 5, 5], [-1, 5, 5, 5, 5, 5, 5, -1], [-1, -1, 5, 5, 5, 5, -1, -1]]","[28, 26, 27]","[5, 4, 6]",,,
106,"[[-1, -1, 7, 2, 2, 2, -1, -1], [-1, 7, 7, 2, 1, 2, 2, -1], [-1, 1, 1, 2, 2, 2, 2, -1], [-1, 1, 1, 1, 1, 2, 2, -1], [-1, 1, 1, 2, 1, 4, 4, -1], [-1, -1, 1, 1, 1, 4, -1, -1], [-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, -1, -1, -1, -1, -1, -1]]","[20, 29, 6]","[4, 6, 6]",,,
107,"[[-1, -1, -1, 6, -1, 6, -1, -1], [-1, 4, 6, 6, 6, 6, 6, -1], [-1, 4, 6, 3, 6, 6, 6, -1], [-1, 4, 6, 6, 5, 5, 5, -1], [-1, 4, 6, 6, 6, -1, -1, -1], [-1, -1, 6, 6, 6, -1, -1, -1], [6, 6, 6, 6, 6, -1, -1, -1], [-1, -1, 6, -1, 6, -1, -1, -1]]","[31, 42, 29]","[4, 3, 3]",,,
108,"[[-1, -1, 7, 7, 7, -1, -1, -1], [-1, 7, -1, -1, -1, 7, -1, 7], [7, -1, 2, -1, -1, -1, 7, 7], [7, -1, -1, -1, -1, -1, 7, 7], [-1, 7, -1, -1, -1, 7, -1, 7], [-1, -1, 7, 7, 7, -1, -1, -1], [-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, -1, -1, -1, -1, -1, -1]]","[27, 26, 10]","[3, 4, 2]",,,
109,"[[-1, -1, -1, -1, -1, 3, 3, -1], [-1, -1, -1, -1, 3, 3, 3, 3], [-1, -1, 2, 2, 2, 3, 7, 3], [-1, 2, 2, 2, 2, 3, 3, 3], [-1, 2, 2, 2, 2, 3, 3, 3], [-1, 2, -1, -1, -1, 3, 3, 3], [-1, -1, -1, -1, -1, -1, 3, 3], [-1, -1, -1, -1, -1, -1, -1, 3]]","[31, 27, 27]","[2, 4, 6]",,,
110,"[[-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, -1, -1, -1, 5, 5, -1], [-1, -1, -1, -1, -1, 5, 5, 5], [-1, -1, -1, -1, 5, 5, 5, 5], [-1, -1, -1, 5, 5, 5, 5, -1], [-1, -1, 5, 5, 5, -1, 5, -1], [5, 2, 5, 5, -1, -1, 5, -1], [5, 5, 5, -1, -1, -1, 5, -1]]","[9, 25, 30]","[2, 4, 6]",,,
111,"[[-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, -1, 5, 5, -1, -1, -1], [-1, -1, -1, 4, 4, -1, -1, -1], [-1, -1, 2, 2, 2, 2, -1, -1], [-1, -1, 2, 2, 2, 2, -1, -1], [-1, 3, 3, 3, 3, 3, 3, -1], [-1, -1, -1, -1, -1, -1, -1, -1]]","[8, 33, 16]","[4, 5, 5]",,,
112,"[[-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, -1, 2, 2, -1, -1, -1], [-1, -1, 2, 5, 5, 2, -1, -1], [-1, -1, 2, 5, 5, 2, -1, -1], [-1, 6, -1, 2, 2, -1, -1, -1], [-1, -1, 6, 6, 6, -1, 6, -1], [-1, -1, -1, 6, 6, 6, -1, -1], [-1, -1, -1, 6, 6, -1, -1, -1]]","[19, 34, 10]","[5, 6, 6]",,,
113,"[[-1, -1, 5, 5, -1, -1, -1, -1], [-1, 1, 5, 5, 5, 5, -1, -1], [-1, 1, 5, 5, 5, 5, 5, 5], [-1, 1, 5, 5, 5, 5, 5, 5], [-1, 1, -1, -1, 5, 5, 5, 5], [-1, 1, -1, -1, -1, -1, 5, 5], [-1, 1, -1, -1, -1, -1, -1, -1], [-1, 1, -1, -1, -1, -1, -1, -1]]","[31, 30, 36]","[4, 7, 2]",,,
114,"[[2, 2, -1, -1, -1, -1, -1, -1], [2, 2, -1, -1, -1, -1, -1, -1], [2, 2, -1, -1, -1, -1, -1, -1], [2, 2, -1, -1, -1, -1, -1, -1], [2, 2, -1, -1, -1, -1, -1, -1], [-1, -1, 5, -1, -1, -1, -1, -1], [-1, -1, -1, 7, 7, 7, 7, 7], [-1, -1, -1, 7, 7, 7, 7, 7]]","[18, 8, 11]","[4, 7, 2]",,,
115,"[[-1, -1, 1, 4, 5, 4, -1, -1], [-1, -1, 1, 6, 2, 3, 5, -1], [-1, -1, 1, 6, 6, 5, 4, 3], [-1, -1, 1, 6, 6, 6, 2, 5], [-1, 7, 1, 6, 6, 6, 6, 4], [-1, 7, 7, 1, 1, 1, 1, 1], [7, 7, 7, 7, -1, -1, -1, -1], [-1, 7, -1, -1, -1, -1, -1, -1]]","[33, 31, 15]","[7, 7, 4]",,,
116,"[[-1, -1, -1, -1, -1, -1, -1, -1], [-1, 5, 5, -1, -1, 5, 5, -1], [5, 5, 5, 5, 5, 5, -1, 5], [5, 5, 5, 5, 5, -1, -1, 5], [5, 5, 5, 5, 5, 5, -1, 5], [-1, 5, 5, 5, 5, 5, 5, -1], [-1, -1, 5, 5, 5, 5, -1, -1], [-1, -1, -1, 5, 5, -1, -1, -1]]","[16, 25, 4]","[3, 4, 7]",,,
117,"[[-1, -1, -1, -1, -1, -1, -1, -1], [-1, 7, 7, 7, 7, 7, -1, -1], [-1, 7, 5, 7, 5, 7, -1, -1], [-1, 7, 7, 7, 7, 7, -1, -1], [-1, 7, 7, 5, 7, 7, -1, -1], [-1, 7, 7, 7, 7, 7, -1, -1], [-1, -1, -1, 2, -1, -1, -1, -1], [-1, -1, -1, 2, -1, -1, -1, -1]]","[9, 6, 1]","[2, 4, 7]",,,
118,"[[-1, -1, -1, -1, -1, -1, -1, -1], [1, 1, -1, -1, -1, -1, 1, 1], [1, -1, 1, 1, 1, 1, -1, 1], [1, -1, -1, 7, 7, -1, -1, 1], [-1, 1, -1, 7, 7, -1, 1, -1], [-1, 1, 1, 7, 7, 1, 1, -1], [-1, -1, 1, -1, -1, 1, -1, -1], [-1, -1, -1, 1, 1, -1, -1, -1]]","[16, 19, 27]","[2, 4, 7]",,,
119,"[[-1, 2, 2, -1, -1, 2, 2, -1], [2, -1, -1, 2, 2, -1, -1, 2], [2, -1, -1, 2, 2, -1, -1, 2], [-1, 2, 2, 4, 4, 2, 2, -1], [-1, -1, -1, 4, 4, -1, -1, -1], [-1, -1, -1, 4, 4, 4, -1, -1], [-1, -1, -1, 4, 4, -1, -1, -1], [-1, -1, -1, 4, 4, 4, -1, -1]]","[9, 9, 33]","[4, 6, 6]",,,
120,"[[-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, 6, -1, 6, -1, 6, -1], [-1, -1, -1, 6, 6, 6, -1, -1], [-1, -1, -1, 4, 2, 4, -1, -1], [-1, -1, 2, 4, 2, 4, 2, -1], [-1, -1, 4, 2, 4, 2, 4, -1], [-1, -1, 2, 4, 2, 4, 2, -1], [-1, -1, -1, 2, 4, 2, -1, -1]]","[9, 32, 26]","[6, 4, 5]",,,
121,"[[-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, -1, -1, -1, 6, 6, -1], [-1, -1, -1, -1, -1, -1, 6, 6], [-1, -1, -1, -1, -1, -1, -1, 6], [-1, -1, 2, -1, 2, -1, -1, 6], [6, 6, 6, 6, 6, 6, -1, 6], [-1, -1, -1, 6, 6, 6, 6, 6], [-1, 6, 6, 6, 6, 6, 6, -1]]","[26, 34, 15]","[5, 4, 6]",,,
