id,pos,borderNum,border,ratio
35,"[[{""x"": 0, ""y"": -1}, {""x"": 1, ""y"": -1}, {""x"": 2, ""y"": -1}], [{""x"": 3, ""y"": 0}, {""x"": 3, ""y"": 1}], [{""x"": 0, ""y"": 1}, {""x"": 1, ""y"": 1}, {""x"": 2, ""y"": 1}], [{""x"": -1, ""y"": 0}, {""x"": -1, ""y"": 1}]]",10,"[1110, 1011, 1010, 11, 111, 1111, 110, 1100, 1101, 101, 1001, 1, 10, 100, 1000.0, 0]","[2, 2, 3, 5, 2, 1, 5, 5, 2, 3, 7, 6, 6, 6, 6, 7]"
36,"[[{""x"": 0, ""y"": -1}, {""x"": 1, ""y"": -1}], [{""x"": 2, ""y"": 0}, {""x"": 2, ""y"": 1}, {""x"": 2, ""y"": 2}], [{""x"": 0, ""y"": 3}, {""x"": 1, ""y"": 3}], [{""x"": -1, ""y"": 0}, {""x"": -1, ""y"": 1}, {""x"": -1, ""y"": 2}]]",10,"[111, 1101, 101, 11, 1111, 1110, 110, 1011, 1100, 1010, 1001, 10, 100, 1, 1000.0, 0]","[2, 2, 3, 5, 1, 2, 5, 2, 5, 3, 7, 6, 6, 6, 6, 7]"
37,"[[{""x"": 0, ""y"": -1}], [{""x"": 1, ""y"": 0}], [{""x"": 2, ""y"": 1}], [{""x"": 1, ""y"": 2}], [{""x"": 0, ""y"": 1}], [{""x"": -1, ""y"": 0}]]",8,"[11110, 1111, 11111, 111111, 100111, 110011, 111110, 111011, 1110, 110111, 111001, 11011, 110001, 1011, 111100, 100011, 101110, 11100, 110110, 10111, 110101, 101011, 101111, 11010, 100110, 10011, 1010, 10001, 11101, 11001, 10101, 101010, 111010, 111101, 10110, 111, 100010, 110100, 110010, 110, 10100, 11, 111000.0, 1100, 1101, 101001, 100001, 110000.0, 100101, 101100, 101101, 11000.0, 10, 10000.0, 101, 1001, 10010, 101000.0, 100100, 100, 1, 100000.0, 0, 1000.0]","[7, 7, 2, 1, 7, 7, 2, 2, 7, 2, 7, 3, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 7, 4, 7, 7, 7, 7, 7, 7, 4, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]"
38,"[[{""x"": 0, ""y"": -1}], [{""x"": 1, ""y"": 0}], [{""x"": 0, ""y"": 1}], [{""x"": -1, ""y"": 2}], [{""x"": -2, ""y"": 1}], [{""x"": -1, ""y"": 0}]]",8,"[1111, 11111, 111001, 11110, 111111, 111101, 1110, 111011, 101111, 11010, 11011, 111100, 110011, 110001, 111000.0, 101110, 111110, 100111, 111, 101101, 110101, 10111, 111010, 11101, 101100, 1010, 10101, 10001, 11001, 1011, 10011, 110111, 101010, 101011, 101001, 1101, 100101, 101, 101000.0, 11100, 1100, 100011, 11000.0, 110, 10110, 110100, 110110, 110000.0, 11, 100001, 110010, 100110, 1000.0, 100100, 100010, 1, 1001, 10100, 10010, 100, 10, 10000.0, 100000.0, 0]","[7, 2, 7, 7, 1, 2, 7, 2, 2, 7, 3, 7, 7, 7, 7, 7, 2, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 4, 7, 4, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]"
39,"[[{""x"": 0, ""y"": -1}], [{""x"": 1, ""y"": 0}, {""x"": 2, ""y"": 1}], [{""x"": 3, ""y"": 2}], [{""x"": 2, ""y"": 3}], [{""x"": 0, ""y"": 1}, {""x"": 1, ""y"": 2}], [{""x"": -1, ""y"": 0}]]",12,"[101111, 111101, 11101, 101011, 101110, 110101, 1111, 11111, 11110, 100111, 111111, 111011, 110110, 111110, 11011, 111001, 1110, 111010, 101101, 10110, 110111, 100011, 10111, 1100, 1011, 11010, 110001, 101100, 100001, 1101, 101010, 100110, 111100, 110011, 101001, 100101, 111, 10011, 11001, 11100, 10101, 110010, 101000.0, 10010, 110, 10100, 100100, 110100, 1010, 11, 10001, 101, 1, 111000.0, 110000.0, 1001, 100, 100010, 100000.0, 10, 11000.0, 10000.0, 0, 1000.0]","[2, 2, 7, 7, 7, 7, 7, 2, 7, 7, 1, 2, 3, 2, 3, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 4, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 4, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]"
40,"[[{""x"": 0, ""y"": -1}], [{""x"": 1, ""y"": 0}], [{""x"": 0, ""y"": 1}, {""x"": -1, ""y"": 2}], [{""x"": -2, ""y"": 3}], [{""x"": -3, ""y"": 2}], [{""x"": -1, ""y"": 0}, {""x"": -2, ""y"": 1}]]",12,"[111110, 111010, 110111, 101110, 110101, 10111, 11110, 1110, 111100, 111111, 11111, 1111, 11010, 111011, 10110, 101010, 101011, 11101, 11011, 100111, 101111, 101100, 110011, 110, 1101, 110100, 111000.0, 111101, 110110, 10101, 111001, 100110, 110001, 11001, 111, 101101, 101001, 1011, 110010, 10011, 11100, 1010, 110000.0, 100010, 1100, 10100, 100011, 1001, 10001, 11000.0, 10010, 1000.0, 101, 100001, 101000.0, 100101, 100, 10, 10000.0, 11, 100000.0, 1, 0, 100100]","[2, 7, 2, 7, 7, 7, 7, 7, 7, 1, 2, 7, 7, 2, 7, 7, 7, 7, 3, 7, 2, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 4, 7, 7, 7, 7, 7, 4, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]"
41,"[[{""x"": 0, ""y"": -1}], [{""x"": 1, ""y"": 0}], [{""x"": 0, ""y"": 1}, {""x"": -1, ""y"": 2}], [{""x"": -2, ""y"": 3}], [{""x"": -3, ""y"": 2}], [{""x"": -1, ""y"": 0}, {""x"": -2, ""y"": 1}]]",12,"[111110, 111010, 110111, 101110, 110101, 10111, 11110, 1110, 111100, 111111, 11111, 1111, 11010, 111011, 10110, 101010, 101011, 11101, 11011, 100111, 101111, 101100, 110011, 110, 1101, 110100, 111000.0, 111101, 110110, 10101, 111001, 100110, 110001, 11001, 111, 101101, 101001, 1011, 110010, 10011, 11100, 1010, 110000.0, 100010, 1100, 10100, 100011, 1001, 10001, 11000.0, 10010, 1000.0, 101, 100001, 101000.0, 100101, 100, 10, 10000.0, 11, 100000.0, 1, 0, 100100]","[2, 7, 2, 7, 7, 7, 7, 7, 7, 1, 2, 7, 7, 2, 7, 7, 7, 7, 3, 7, 2, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 4, 7, 7, 7, 7, 7, 4, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]"
42,"[[{""x"": 0, ""y"": -1}], [{""x"": 1, ""y"": 0}, {""x"": 1, ""y"": 1}], [{""x"": 2, ""y"": 2}], [{""x"": 0, ""y"": 3}, {""x"": 1, ""y"": 3}], [{""x"": -1, ""y"": 0}, {""x"": -1, ""y"": 1}, {""x"": -1, ""y"": 2}]]",10,"[1111, 11110, 1011, 1101, 11101, 1110, 11111, 11010, 1010, 111, 11011, 11, 11001, 1001, 10011, 11100, 10010, 11000.0, 1100, 101, 110, 10001, 1000.0, 10111, 10110, 10101, 10, 1, 10000.0, 10100, 100, 0]","[2, 2, 7, 3, 2, 7, 1, 3, 7, 7, 2, 5, 7, 7, 7, 4, 7, 5, 5, 7, 5, 7, 6, 2, 7, 7, 6, 6, 6, 7, 6, 7]"
43,,12,,
44,,12,,
45,,12,,
46,,12,,
47,,12,,
48,,12,,
49,,12,,
50,,12,,
51,,12,,
52,,16,,
