key,分组,英文名,中文名,图集,pos.x,pos.y,尺寸,备注,落盘位置
v_overstock_plus,Voucher,Overstock Plus,库存过剩加强版,Voucher,0,1,142x190,,Voucher/v_overstock_plus.png
v_paint_brush,Voucher,Paint Brush,油漆刷,Voucher,7,2,142x190,,Voucher/v_paint_brush.png
v_palette,Voucher,Palette,调色板,Voucher,7,3,142x190,,Voucher/v_palette.png
v_petroglyph,Voucher,Petroglyph,岩画,Voucher,5,3,142x190,,Voucher/v_petroglyph.png
v_planet_merchant,Voucher,Planet Merchant,星球牌商人,Voucher,2,0,142x190,,Voucher/v_planet_merchant.png
v_planet_tycoon,Voucher,Planet Tycoon,星球大亨,Voucher,2,1,142x190,,Voucher/v_planet_tycoon.png
v_recyclomancy,Voucher,Recyclomancy,回收魔法,Voucher,6,1,142x190,,Voucher/v_recyclomancy.png
v_reroll_glut,Voucher,Reroll Glut,重掷加強版,Voucher,0,3,142x190,,Voucher/v_reroll_glut.png
v_reroll_surplus,Voucher,Reroll Surplus,多次重掷,Voucher,0,2,142x190,,Voucher/v_reroll_surplus.png
v_retcon,Voucher,Retcon,重构,Voucher,6,3,142x190,,Voucher/v_retcon.png
v_seed_money,Voucher,Seed Money,种子基金,Voucher,1,2,142x190,,Voucher/v_seed_money.png
v_tarot_merchant,Voucher,Tarot Merchant,塔罗牌商人,Voucher,1,0,142x190,,Voucher/v_tarot_merchant.png
v_tarot_tycoon,Voucher,Tarot Tycoon,塔罗大亨,Voucher,1,1,142x190,,Voucher/v_tarot_tycoon.png
v_telescope,Voucher,Telescope,望远镜,Voucher,3,2,142x190,,Voucher/v_telescope.png
v_wasteful,Voucher,Wasteful,常弃常新,Voucher,6,0,142x190,,Voucher/v_wasteful.png
tag_boss,Tag,Boss Tag,Boss标签,tags,0,2,68x68,,Tag/tag_boss.png
tag_buffoon,Tag,Buffoon Tag,小丑标签,tags,4,2,68x68,,Tag/tag_buffoon.png
tag_charm,Tag,Charm Tag,吊饰标签,tags,2,2,68x68,,Tag/tag_charm.png
tag_coupon,Tag,Coupon Tag,代金券标签,tags,4,0,68x68,,Tag/tag_coupon.png
tag_d_six,Tag,D6 Tag,D6标签,tags,5,3,68x68,,Tag/tag_d_six.png
tag_double,Tag,Double Tag,双倍标签,tags,5,0,68x68,,Tag/tag_double.png
tag_economy,Tag,Economy Tag,经济标签,tags,4,3,68x68,,Tag/tag_economy.png
tag_ethereal,Tag,Ethereal Tag,空灵标签,tags,3,3,68x68,,Tag/tag_ethereal.png
tag_foil,Tag,Foil Tag,闪箔标签,tags,3,0,68x68,,Tag/tag_foil.png
tag_garbage,Tag,Garbage Tag,垃圾标签,tags,2,3,68x68,,Tag/tag_garbage.png
tag_handy,Tag,Handy Tag,顺手标签,tags,1,3,68x68,,Tag/tag_handy.png
tag_holo,Tag,Holographic Tag,镭射标签,tags,0,1,68x68,,Tag/tag_holo.png
tag_investment,Tag,Investment Tag,投资标签,tags,2,1,68x68,,Tag/tag_investment.png
tag_juggle,Tag,Juggle Tag,杂耍标签,tags,5,1,68x68,,Tag/tag_juggle.png
tag_meteor,Tag,Meteor Tag,流星标签,tags,3,2,68x68,,Tag/tag_meteor.png
tag_negative,Tag,Negative Tag,负片标签,tags,2,0,68x68,,Tag/tag_negative.png
tag_orbital,Tag,Orbital Tag,轨道标签,tags,5,2,68x68,,Tag/tag_orbital.png
tag_polychrome,Tag,Polychrome Tag,多彩标签,tags,1,1,68x68,,Tag/tag_polychrome.png
tag_rare,Tag,Rare Tag,稀有标签,tags,1,0,68x68,,Tag/tag_rare.png
tag_skip,Tag,Speed Tag,速度标签,tags,0,3,68x68,,Tag/tag_skip.png
tag_standard,Tag,Standard Tag,标准标签,tags,1,2,68x68,,Tag/tag_standard.png
tag_top_up,Tag,Top-up Tag,充值标签,tags,4,1,68x68,,Tag/tag_top_up.png
tag_uncommon,Tag,Uncommon Tag,罕见标签,tags,0,0,68x68,,Tag/tag_uncommon.png
tag_voucher,Tag,Voucher Tag,优惠券标签,tags,3,1,68x68,,Tag/tag_voucher.png
bl_arm,Blind,The Arm,手臂,blind_chips,0,11,68x68,动画首帧/共21帧,Blind/bl_arm.png
bl_big,Blind,Big Blind,大盲注,blind_chips,0,1,68x68,动画首帧/共21帧,Blind/bl_big.png
bl_club,Blind,The Club,梅花,blind_chips,0,4,68x68,动画首帧/共21帧,Blind/bl_club.png
bl_eye,Blind,The Eye,眼睛,blind_chips,0,17,68x68,动画首帧/共21帧,Blind/bl_eye.png
bl_final_acorn,Blind,Amber Acorn,琥珀之实,blind_chips,0,27,68x68,动画首帧/共21帧,Blind/bl_final_acorn.png
bl_final_bell,Blind,Cerulean Bell,蔚蓝之铃,blind_chips,0,26,68x68,动画首帧/共21帧,Blind/bl_final_bell.png
bl_final_heart,Blind,Crimson Heart,绯红之心,blind_chips,0,25,68x68,动画首帧/共21帧,Blind/bl_final_heart.png
bl_final_leaf,Blind,Verdant Leaf,翠绿之叶,blind_chips,0,28,68x68,动画首帧/共21帧,Blind/bl_final_leaf.png
bl_final_vessel,Blind,Violet Vessel,靛紫之杯,blind_chips,0,29,68x68,动画首帧/共21帧,Blind/bl_final_vessel.png
bl_fish,Blind,The Fish,鱼,blind_chips,0,5,68x68,动画首帧/共21帧,Blind/bl_fish.png
bl_flint,Blind,The Flint,燧石,blind_chips,0,24,68x68,动画首帧/共21帧,Blind/bl_flint.png
bl_goad,Blind,The Goad,挑衅,blind_chips,0,13,68x68,动画首帧/共21帧,Blind/bl_goad.png
bl_head,Blind,The Head,头部,blind_chips,0,21,68x68,动画首帧/共21帧,Blind/bl_head.png
bl_hook,Blind,The Hook,钩子,blind_chips,0,7,68x68,动画首帧/共21帧,Blind/bl_hook.png
bl_house,Blind,The House,房屋,blind_chips,0,3,68x68,动画首帧/共21帧,Blind/bl_house.png
bl_manacle,Blind,The Manacle,镣铐,blind_chips,0,8,68x68,动画首帧/共21帧,Blind/bl_manacle.png
bl_mark,Blind,The Mark,标记,blind_chips,0,23,68x68,动画首帧/共21帧,Blind/bl_mark.png
bl_mouth,Blind,The Mouth,嘴巴,blind_chips,0,18,68x68,动画首帧/共21帧,Blind/bl_mouth.png
bl_needle,Blind,The Needle,针,blind_chips,0,20,68x68,动画首帧/共21帧,Blind/bl_needle.png
bl_ox,Blind,The Ox,公牛,blind_chips,0,2,68x68,动画首帧/共21帧,Blind/bl_ox.png
bl_pillar,Blind,The Pillar,支柱,blind_chips,0,16,68x68,动画首帧/共21帧,Blind/bl_pillar.png
bl_plant,Blind,The Plant,植物,blind_chips,0,19,68x68,动画首帧/共21帧,Blind/bl_plant.png
bl_psychic,Blind,The Psychic,灵媒,blind_chips,0,12,68x68,动画首帧/共21帧,Blind/bl_psychic.png
bl_serpent,Blind,The Serpent,巨蟒,blind_chips,0,15,68x68,动画首帧/共21帧,Blind/bl_serpent.png
bl_small,Blind,Small Blind,小盲注,blind_chips,0,0,68x68,动画首帧/共21帧,Blind/bl_small.png
bl_tooth,Blind,The Tooth,牙齿,blind_chips,0,22,68x68,动画首帧/共21帧,Blind/bl_tooth.png
bl_wall,Blind,The Wall,围墙,blind_chips,0,9,68x68,动画首帧/共21帧,Blind/bl_wall.png
bl_water,Blind,The Water,水,blind_chips,0,14,68x68,动画首帧/共21帧,Blind/bl_water.png
bl_wheel,Blind,The Wheel,车轮,blind_chips,0,10,68x68,动画首帧/共21帧,Blind/bl_wheel.png
bl_window,Blind,The Window,窗口,blind_chips,0,6,68x68,动画首帧/共21帧,Blind/bl_window.png
