key,中文名,英文名,稀有度,售价,卖价,效果类型,生效方式,通用规则,通用规则说明,触发时机,成长型,中文描述,英文描述,数值参数,占位变量取值,loc_vars原式,蓝图可复制,永恒可,易腐可,默认解锁,解锁条件类型,解锁条件,order,代码出处,图片,描述模板_中文
j_hiker,徒步者,Hiker,2-罕见,5,2,,calculate_joker 按名字,,,逐张计分 > 计分区,,打出的每一张牌 在计分时 会永久获得+5筹码,Every played card permanently gains +5 Chips when scored,extra=5,#1#=5,self.ability.extra,是,是,是,是,,,56,card.lua:3070,图片资源/Joker/j_hiker.png,打出的每一张牌 在{c:attention}计分{}时 会永久获得{C:chips}+#1#{}筹码
j_faceless,无面小丑,Faceless Joker,1-普通,4,2,,calculate_joker 按名字,,,弃牌时,,如果同时弃掉 3张或更多张 人头牌 获得$5,Earn $5 if 3 or more face cards are discarded at the same time,extra.dollars=5; extra.faces=3,#1#=5 | #2#=3,"self.ability.extra.dollars, self.ability.extra.faces",是,是,是,是,,,57,card.lua:2861,图片资源/Joker/j_faceless.png,如果同时弃掉 {C:attention}#2#{}张或更多张 {C:attention}人头牌{} 获得{C:money}$#1#{}
j_green_joker,绿色小丑,Green Joker,1-普通,4,2,,calculate_joker 按名字,,,弃牌时 | 小丑区 > 出牌前 | 小丑区 > 计分主阶段,是,每次出牌，这张小丑牌+1倍率 每次弃牌，这张小丑牌-1倍率 （当前为+0倍）,+1 Mult per hand played -1 Mult per discard (Currently +0 Mult),extra.discard_sub=1; extra.hand_add=1,#1#=1 | #2#=1 | #3#=0,"self.ability.extra.hand_add, self.ability.extra.discard_sub, self.ability.mult",是,是,,是,,,58,card.lua:2849 ; card.lua:3566 ; card.lua:4013,图片资源/Joker/j_green_joker.png,每次出牌，这张小丑牌{C:mult}+#1#{}倍率 每次弃牌，这张小丑牌{C:mult}-#2#{}倍率 {C:inactive}（当前为{C:mult}+#3#{C:inactive}倍）
j_superposition,叠加态,Superposition,1-普通,4,2,,calculate_joker 按名字,,,小丑区 > 计分主阶段,是,如果打出的牌中包含 一张A和一个顺子 生成一张塔罗牌 （必须有空位）,Create a Tarot card if poker hand contains an Ace and a Straight (Must have room),,#1#=<运行时:extra>,self.ability.extra,是,是,是,是,,,59,card.lua:3765,图片资源/Joker/j_superposition.png,如果打出的牌中包含 一张{C:attention}A{}和一个{C:attention}顺子{} 生成一张{C:tarot}塔罗牌{} {C:inactive}（必须有空位）
j_todo_list,待办清单,To Do List,1-普通,4,2,,calculate_joker 按名字,,,回合结算 | 小丑区 > 出牌前,是,如果出牌牌型为<运行时:to_do_poker_hand> 获得$4 每回合结束时 牌型都会改变,"Earn $4 if poker hand is a <运行时:to_do_poker_hand>, poker hand changes at end of round",extra.dollars=4; extra.poker_hand=High Card,#1#=4 | #2#=<运行时:to_do_poker_hand>,"self.ability.extra.dollars, localize(self.ability.to_do_poker_hand, 'poker_hands')",是,是,是,是,,,60,card.lua:311 ; card.lua:2978 ; card.lua:3494,图片资源/Joker/j_todo_list.png,如果{C:attention}出牌牌型{}为{C:attention}#2#{} 获得{C:money}$#1#{} 每回合结束时 牌型都会改变
j_cavendish,卡文迪什,Cavendish,1-普通,4,2,,calculate_joker 按名字,,,回合结算 | 小丑区 > 计分主阶段,,X3倍率 回合结束时 有1/1000的几率 摧毁此牌, X3  Mult 1 in 1000 chance this card is destroyed at end of round,extra.Xmult=3; extra.odds=1000,#1#=3 | #2#=1 | #3#=1000,"self.ability.extra.Xmult, ''..(G.GAME and G.GAME.probabilities.normal or 1), self.ability.extra.odds",是,,是,是,,,61,card.lua:3022 ; card.lua:3023 ; card.lua:4031,图片资源/Joker/j_cavendish.png,"{X:mult,C:white}X#1#{}倍率 回合结束时 有{C:green}#2#/#3#{}的几率 摧毁此牌"
j_card_sharp,老千小丑,Card Sharp,2-罕见,6,3,,calculate_joker 按名字,,,小丑区 > 计分主阶段,,如果打出的牌型已经 在本回合打出过 则X3倍率, X3  Mult if played poker hand has already been played this round,extra.Xmult=3,#1#=3,self.ability.extra.Xmult,是,是,是,是,,,62,card.lua:4043,图片资源/Joker/j_card_sharp.png,"如果打出的{C:attention}牌型{}已经 在本回合打出过 则{X:mult,C:white}X#1#{}倍率"
j_red_card,红牌,Red Card,1-普通,5,2,,calculate_joker 按名字,,,跳过补充包 | 小丑区 > 计分主阶段,是,当跳过任一补充包时 这张小丑牌获得+3倍率 （当前为+0倍率）,This Joker gains +3 Mult when any Booster Pack is skipped (Currently +0 Mult),extra=3,#1#=3 | #2#=0,"self.ability.extra, self.ability.mult",是,是,,是,,,63,card.lua:2445 ; card.lua:4037,图片资源/Joker/j_red_card.png,当跳过任一{C:attention}补充包{}时 这张小丑牌获得{C:red}+#1#{}倍率 {C:inactive}（当前为{C:red}+#2#{C:inactive}倍率）
j_madness,疯狂,Madness,2-罕见,7,3,,calculate_joker 按名字,,,盲注选定,是,在小盲注或大盲注被选中时 这张小丑牌获得X0.5倍率 然后随机摧毁一张小丑牌 （当前为X1倍率）,"When Small Blind or Big Blind is selected, gain  X0.5  Mult and destroy a random Joker (Currently  X1  Mult)",extra=0.5,#1#=0.5 | #2#=1,"self.ability.extra, self.ability.x_mult",是,是,,是,,,64,card.lua:2506,图片资源/Joker/j_madness.png,"在{C:attention}小盲注{}或{C:attention}大盲注{}被选中时 这张小丑牌获得{X:mult,C:white}X#1#{}倍率 然后随机{C:attention}摧毁{}一张小丑牌 {C:inactive}（当前为{X:mult,C:white}X#2#{}倍率）"
j_square,方形小丑,Square Joker,1-普通,4,2,,calculate_joker 按名字,,,小丑区 > 出牌前 | 小丑区 > 计分主阶段,是,如果打出的牌 正好是4张牌 这张小丑牌获得+4筹码 （当前为+0筹码）,This Joker gains +4 Chips if played hand has exactly 4 cards (Currently 0 Chips),extra.chip_mod=4; extra.chips=0,#1#=0 | #2#=4,"self.ability.extra.chips, self.ability.extra.chip_mod",是,是,,是,,,65,card.lua:200 ; card.lua:248 ; card.lua:3430 ; card.lua:3904,图片资源/Joker/j_square.png,如果打出的牌 正好是{C:attention}4{}张牌 这张小丑牌获得{C:chips}+#2#{}筹码 {C:inactive}（当前为{C:chips}+#1#{C:inactive}筹码）
j_seance,通灵,Seance,2-罕见,6,3,,calculate_joker 按名字,,,小丑区 > 计分主阶段,,如果牌型为 Straight Flush，随机生成 一张幻灵牌 （必须有空位）,"If poker hand is a Straight Flush, create a random Spectral card (Must have room)",extra.poker_hand=Straight Flush,#1#=Straight Flush,"localize(self.ability.extra.poker_hand, 'poker_hands')",是,是,是,是,,,66,card.lua:3790,图片资源/Joker/j_seance.png,如果{C:attention}牌型{}为 {C:attention}#1#{}，随机生成 一张{C:spectral}幻灵牌{} {C:inactive}（必须有空位）
j_riff_raff,乌合之众,Riff-raff,1-普通,6,3,,calculate_joker 按名字,,,盲注选定,,在选择盲注时 生成2张普通小丑牌 （必须有空间）,"When Blind is selected, create 2 Common Jokers (Must have room)",extra=2,#1#=2,self.ability.extra,是,是,是,是,,,67,card.lua:2532,图片资源/Joker/j_riff_raff.png,在选择{C:attention}盲注{}时 生成{C:attention}#1#张{C:blue}普通{C:attention}小丑牌 {C:inactive}（必须有空间）
j_vampire,吸血鬼,Vampire,2-罕见,7,3,,calculate_joker 按名字,,,小丑区 > 出牌前,是,每打出一张计分的增强卡牌 这张小丑牌获得X0.1倍率 并移除卡牌的增强效果 （当前为X1倍率）,"This Joker gains  X0.1  Mult per scoring Enhanced card played, removes card Enhancement (Currently  X1  Mult)",Xmult=1; extra=0.1,#1#=0.1 | #2#=1,"self.ability.extra, self.ability.x_mult",是,是,,是,,,68,card.lua:3468,图片资源/Joker/j_vampire.png,"每打出一张计分的{C:attention}增强卡牌{} 这张小丑牌获得{X:mult,C:white}X#1#{}倍率 并移除卡牌的{C:attention}增强效果 {C:inactive}（当前为{X:mult,C:white}X#2#{C:inactive}倍率）"
j_shortcut,捷径,Shortcut,2-罕见,7,3,,外部引用,,,,,让顺子可以 相隔1个点数组成 （例如：10 8 6 5 3）,Allows Straights to be made with gaps of 1 rank (ex: 10 8 6 5 3),,,,,是,是,是,,,69,functions/misc_functions.lua:570,图片资源/Joker/j_shortcut.png,让{C:attention}顺子{}可以 相隔{C:attention}1个点数{}组成 {C:inactive}（例如：{C:attention}10 8 6 5 3{C:inactive}）
j_hologram,全息影像,Hologram,2-罕见,7,3,,calculate_joker 按名字,,,牌组加牌,是,每添加一张卡牌 到你的牌组中， 这张小丑牌获得X0.25倍率 （当前为X1倍率）,This Joker gains  X0.25  Mult every time a playing card is added to your deck (Currently  X1  Mult),Xmult=1; extra=0.25,#1#=0.25 | #2#=1,"self.ability.extra, self.ability.x_mult",是,是,,是,,,70,card.lua:2460 ; card.lua:4524,图片资源/Joker/j_hologram.png,"每添加一张{C:attention}卡牌{} 到你的牌组中， 这张小丑牌获得{X:mult,C:white}X#1#{}倍率 {C:inactive}（当前为{X:mult,C:white}X#2#{C:inactive}倍率）"
j_vagabond,流浪者,Vagabond,3-稀有,8,4,,calculate_joker 按名字,,,小丑区 > 计分主阶段,,如果在出牌时 资金少于等于$4 则获得一张塔罗牌,Create a Tarot card if hand is played with $4 or less,extra=4,#1#=4,self.ability.extra,是,是,是,是,,,71,card.lua:3746 ; functions/UI_definitions.lua:5220,图片资源/Joker/j_vagabond.png,如果在出牌时 资金少于等于{C:money}$#1#{} 则获得一张{C:purple}塔罗牌{}
j_baron,男爵,Baron,3-稀有,8,4,,calculate_joker 按名字,,,逐张计分 > 手牌区,,留在手牌中的 每一张K 会给予 X1.5 倍率,Each King held in hand gives  X1.5  Mult,extra=1.5,#1#=1.5,self.ability.extra,是,是,是,是,,,72,card.lua:3290,图片资源/Joker/j_baron.png,"留在手牌中的 每一张{C:attention}K{} 会给予{X:mult,C:white} X#1# {}倍率"
j_cloud_9,9霄云外,Cloud 9,2-罕见,7,3,,外部引用,,,,是,每个回合结束时 你完整牌组内的每张9 使你获得$1 (当前$0),Earn $1 for each 9 in your full deck at end of round (Currently $0),extra=1,#1#=1 | #2#=0,"self.ability.extra, self.ability.extra*(self.ability.nine_tally or 0)",,是,是,是,,,73,card.lua:1663 ; card.lua:4194,图片资源/Joker/j_cloud_9.png,每个回合结束时 你{C:attention}完整牌组{}内的每张{C:attention}9{} 使你获得{C:money}$#1#{} {C:inactive}(当前{C:money}$#2#{}{C:inactive})
j_rocket,火箭,Rocket,2-罕见,6,3,,calculate_joker 按名字,,,回合结算,,每个回合结束时你获得$1 击败Boss盲注 会使这一金额增加$2,Earn $1 at end of round Payout increases by $2 when Boss Blind is defeated,extra.dollars=1; extra.increase=2,#1#=1 | #2#=2,"self.ability.extra.dollars, self.ability.extra.increase",,是,,是,,,74,card.lua:1666 ; card.lua:2899,图片资源/Joker/j_rocket.png,每个回合结束时你获得{C:money}$#1#{} 击败{C:attention}Boss盲注{} 会使这一金额增加{C:money}$#2#{}
j_obelisk,方尖石塔,Obelisk,3-稀有,8,4,,calculate_joker 按名字,,,小丑区 > 出牌前,是,连续打出不是你 最常用的牌型时 这张小丑牌获得X0.2倍率 失败将会重置倍率 （当前为X1倍率）,This Joker gains  X0.2  Mult per consecutive hand played without playing your most played poker hand (Currently  X1  Mult),Xmult=1; extra=0.2,#1#=0.2 | #2#=1,"self.ability.extra, self.ability.x_mult",是,是,,是,,,75,card.lua:3546,图片资源/Joker/j_obelisk.png,"连续打出不是你 最常用的{C:attention}牌型{}时 这张小丑牌获得{X:mult,C:white}X#1#{}倍率 失败将会重置倍率 {C:inactive}（当前为{X:mult,C:white}X#2#{C:inactive}倍率）"
j_midas_mask,迈达斯面具,Midas Mask,2-罕见,7,3,,calculate_joker 按名字,,,小丑区 > 出牌前,,打出的所有人头牌 在计分时 变为黄金牌,All played face cards become Gold cards when scored,,,,,是,是,是,,,76,card.lua:3446 ; functions/common_events.lua:2589,图片资源/Joker/j_midas_mask.png,打出的所有{C:attention}人头牌{} 在计分时 变为{C:attention}黄金牌{}
j_luchador,摔跤手,Luchador,2-罕见,5,2,,calculate_joker 按名字,,,卖出自身,是,售出这张小丑牌 会消除当前回合中 Boss盲注的限制条件,Sell this card to disable the current Boss Blind,,,,是,,是,是,,,77,card.lua:2358,图片资源/Joker/j_luchador.png,售出这张小丑牌 会消除当前回合中 {C:attention}Boss盲注{}的限制条件
j_photograph,照片,Photograph,1-普通,5,2,,calculate_joker 按名字,,,逐张计分 > 计分区,,打出的第一张人头牌 在计分时 会给予 X2 倍率,First played face card gives  X2  Mult when scored,extra=2,#1#=2,self.ability.extra,是,是,是,是,,,78,card.lua:197 ; card.lua:243 ; card.lua:3096 ; card.lua:4763,图片资源/Joker/j_photograph.png,"打出的第一张{C:attention}人头牌{} 在计分时 会给予{X:mult,C:white} X#1# {}倍率"
j_gift,礼品卡,Gift Card,2-罕见,6,3,,calculate_joker 按名字,,,回合结算,,在每回合结束时 使拥有的每张小丑牌 和消耗牌 售价增加$1,Add $1 of sell value to every Joker and Consumable card at end of round,extra=1,#1#=1,self.ability.extra,,是,是,是,,,79,card.lua:2996,图片资源/Joker/j_gift.png,在每回合结束时 使拥有的每张{C:attention}小丑牌{} 和{C:attention}消耗牌{} {C:attention}售价{}增加{C:money}$#1#{}
j_turtle_bean,黑龟豆,Turtle Bean,2-罕见,6,3,,calculate_joker 按名字,,,回合结算,,手牌上限+5 每回合结束时减1,"+5 hand size, reduces by 1 every round",extra.h_mod=1; extra.h_size=5,#1#=5 | #2#=1,"self.ability.extra.h_size, self.ability.extra.h_mod",,,是,是,,,80,card.lua:605 ; card.lua:662 ; card.lua:2906,图片资源/Joker/j_turtle_bean.png,手牌上限{C:attention}+#1#{} 每回合结束时减{C:red}#2#{}
j_erosion,侵蚀,Erosion,2-罕见,6,3,,calculate_joker 按名字,,,小丑区 > 计分主阶段,是,"在你的牌组中 每比完整的G.GAME.starting_deck_size张牌少一张 就获得+4倍率 （当前为+math.max(0,4*(G.playing_cards and (G.GAME.starting_deck_size - 52) or 0))倍率）","+4 Mult for each card below G.GAME.starting_deck_size in your full deck (Currently +math.max(0,4*(G.playing_cards and (G.GAME.starting_deck_size - 52) or 0)) Mult)",extra=4,"#1#=4 | #2#=math.max(0,4*(G.playing_cards and (G.GAME.starting_deck_size - 52) or 0)) | #3#=G.GAME.starting_deck_size","self.ability.extra, math.max(0,self.ability.extra*(G.playing_cards and (G.GAME.starting_deck_size - #G.playing_cards) or 0)), G.GAME.starting_deck_size",是,是,是,是,,,81,card.lua:3897,图片资源/Joker/j_erosion.png,在你的牌组中 每比完整的{C:attention}#3#{}张牌少一张 就获得{C:red}+#1#{}倍率 {C:inactive}（当前为{C:red}+#2#{C:inactive}倍率）
j_reserved_parking,私人车位,Reserved Parking,1-普通,6,3,,calculate_joker 按名字,,,逐张计分 > 手牌区,,留在手牌中的 每一张人头牌 有1/2几率 给予$1,Each face card held in hand has a 1 in 2 chance to give $1,extra.dollars=1; extra.odds=2,#1#=1 | #2#=1 | #3#=2,"self.ability.extra.dollars, ''..(G.GAME and G.GAME.probabilities.normal or 1), self.ability.extra.odds",是,是,是,是,,,82,card.lua:3305,图片资源/Joker/j_reserved_parking.png,留在手牌中的 每一张{C:attention}人头牌{} 有{C:green}#2#/#3#{}几率 给予{C:money}$#1#{}
j_mail,邮件回扣,Mail-In Rebate,1-普通,4,2,,calculate_joker 按名字,,,弃牌时,,每弃掉一张G.GAME.current_round.mail_card.rank 即可获得$5 每个回合点数都会变,"Earn $5 for each discarded G.GAME.current_round.mail_card.rank, rank changes every round",extra=5,#1#=5 | #2#=G.GAME.current_round.mail_card.rank,"self.ability.extra, localize(G.GAME.current_round.mail_card.rank, 'ranks')",是,是,是,是,,,83,card.lua:2828,图片资源/Joker/j_mail.png,每弃掉一张{C:attention}#2#{} 即可获得{C:money}$#1#{} 每个回合点数都会变
j_to_the_moon,冲向月球,To the Moon,2-罕见,5,2,,外部引用,,,,,回合结束时 每拥有$5 可以额外获得$1的利息,Earn an extra $1 of interest for every $5 you have at end of round,extra=1,#1#=1,self.ability.extra,,是,是,是,,,84,card.lua:613 ; card.lua:670,图片资源/Joker/j_to_the_moon.png,回合结束时 每拥有{C:money}$5{} 可以额外获得{C:money}$#1#{}的{C:attention}利息{}
j_hallucination,幻觉,Hallucination,1-普通,4,2,,calculate_joker 按名字,,,打开补充包,,打开任一补充包时 有G.GAME.probabilities.normal/2几率 生成一张塔罗牌 （必须有空位）,G.GAME.probabilities.normal in 2 chance to create a Tarot card when any Booster Pack is opened (Must have room),extra=2,#1#=G.GAME.probabilities.normal | #2#=2,"G.GAME.probabilities.normal, self.ability.extra",是,是,是,是,,,85,card.lua:2339,图片资源/Joker/j_hallucination.png,打开任一{C:attention}补充包{}时 有{C:green}#1#/#2#{}几率 生成一张{C:attention}塔罗牌{} {C:inactive}（必须有空位）
j_fortune_teller,占卜师,Fortune Teller,1-普通,6,3,,calculate_joker 按名字,,,使用消耗品 | 小丑区 > 计分主阶段,是,本赛局内每使用过一张塔罗牌 这张小丑获得+1倍率 （当前为+0）,+1 Mult per Tarot card used this run (Currently +0),extra=1,#1#=1 | #2#=0,"self.ability.extra, (G.GAME.consumeable_usage_total and G.GAME.consumeable_usage_total.tarot or 0)",是,是,是,是,,,86,card.lua:2725 ; card.lua:4019,图片资源/Joker/j_fortune_teller.png,本赛局内每使用过一张{C:purple}塔罗牌{} 这张小丑获得{C:red}+#1#{}倍率 {C:inactive}（当前为{C:red}+#2#{C:inactive}）
j_juggler,杂耍师,Juggler,1-普通,4,2,Hand Size,外部引用,,,,,手牌上限+1,+1 hand size,h_size=1,#1#=1,self.ability.h_size,,是,是,是,,,87,,图片资源/Joker/j_juggler.png,手牌上限{C:attention}+#1#{}
j_drunkard,醉汉,Drunkard,1-普通,4,2,Discard Size,外部引用,,,,,每回合 弃牌次数+1,+1 discard each round,d_size=1,#1#=1,self.ability.d_size,,是,是,是,,,88,,图片资源/Joker/j_drunkard.png,每回合 弃牌次数{C:red}+#1#{}
j_stone,石头小丑,Stone Joker,2-罕见,6,3,Stone Card Buff,calculate_joker 按名字,,,小丑区 > 计分主阶段,是,完整牌组内每有一张 石头牌 +25筹码 （当前为+0筹码）,Gives +25 Chips for each Stone Card in your full deck (Currently +0 Chips),extra=25,#1#=25 | #2#=0,"self.ability.extra, self.ability.extra*(self.ability.stone_tally or 0)",是,是,是,是,,,89,card.lua:3925 ; card.lua:4200 ; functions/common_events.lua:2584,图片资源/Joker/j_stone.png,{C:attention}完整牌组{}内每有一张 {C:attention}石头牌 {C:chips}+#1#{}筹码 {C:inactive}（当前为{C:chips}+#2#{C:inactive}筹码）
j_golden,黄金小丑,Golden Joker,1-普通,6,3,Bonus dollars,外部引用,,,,,在回合结束时 获得$4,Earn $4 at end of round,extra=4,#1#=4,self.ability.extra,,是,是,是,,,90,card.lua:1660,图片资源/Joker/j_golden.png,在回合结束时 获得{C:money}$#1#{}
j_lucky_cat,招财猫,Lucky Cat,2-罕见,6,3,,calculate_joker 按名字,,,逐张计分 > 计分区,是,每次成功触发 一张幸运牌时 这张小丑牌获得X0.25倍率 （当前为X1倍率）,This Joker gains  X0.25  Mult every time a Lucky card successfully triggers (Currently  X1  Mult),Xmult=1; extra=0.25,#1#=0.25 | #2#=1,"self.ability.extra, self.ability.x_mult",是,是,,是,,,91,card.lua:3079 ; functions/common_events.lua:2588,图片资源/Joker/j_lucky_cat.png,"每次{C:green}成功{}触发 一张{C:attention}幸运牌{}时 这张小丑牌获得{X:mult,C:white}X#1#{}倍率 {C:inactive}（当前为{X:mult,C:white}X#2#{C:inactive}倍率）"
j_baseball,棒球卡,Baseball Card,3-稀有,8,4,,calculate_joker 按名字,,,其它小丑触发,,每张罕见小丑牌 会给予 X1.5 倍率,Uncommon Jokers each give  X1.5  Mult,extra=1.5,#1#=1.5,self.ability.extra,是,是,是,是,,,92,card.lua:3400,图片资源/Joker/j_baseball.png,"每张{C:green}罕见{}小丑牌 会给予{X:mult,C:white} X#1# {}倍率"
j_bull,斗牛,Bull,2-罕见,6,3,,calculate_joker 按名字,,,小丑区 > 计分主阶段,是,"每拥有$1 +2筹码 （当前为+2*math.max(0,G.GAME.dollars) or 0筹码）","+2 Chips for each $1 you have (Currently +2*math.max(0,G.GAME.dollars) or 0 Chips)",extra=2,"#1#=2 | #2#=2*math.max(0,G.GAME.dollars) or 0","self.ability.extra, self.ability.extra*math.max(0,G.GAME.dollars) or 0",是,是,是,是,,,93,card.lua:3939,图片资源/Joker/j_bull.png,每拥有{C:money}$1{} {C:chips}+#1#{}筹码 {C:inactive}（当前为{C:chips}+#2#{C:inactive}筹码）
j_diet_cola,零糖可乐,Diet Cola,2-罕见,6,3,,calculate_joker 按名字,,,卖出自身,,售出这牌就可以 创建一个免费的 type = 'name_text,Sell this card to create a free type = 'name_text,,#1#=type = 'name_text,"localize{type = 'name_text', set = 'Tag', key = 'tag_double', nodes = {}}",是,,是,是,,,94,card.lua:2364 ; functions/common_events.lua:2601,图片资源/Joker/j_diet_cola.png,售出这牌就可以 创建一个免费的 {C:attention}#1#
j_trading,交易卡,Trading Card,2-罕见,6,3,,calculate_joker 按名字,,,首次抽牌 | 弃牌时,,如果每回合的第一次弃牌 只有1张牌，则将其 摧毁并获得$3,"If first discard of round has only 1 card, destroy it and earn $3",extra=3,#1#=3,self.ability.extra,,是,是,是,,,95,card.lua:2490 ; card.lua:2805,图片资源/Joker/j_trading.png,如果每回合的{C:attention}第一次弃牌{} 只有{C:attention}1{}张牌，则将其 摧毁并获得{C:money}$#1#
j_flash,闪示卡,Flash Card,2-罕见,5,2,,calculate_joker 按名字,,,重摇商店 | 小丑区 > 计分主阶段,是,在商店中每重掷一次 这张小丑牌获得+2倍率 （当前为+0倍率）,This Joker gains +2 Mult per reroll in the shop (Currently +0 Mult),extra=2; mult=0,#1#=2 | #2#=0,"self.ability.extra, self.ability.mult",是,是,,是,,,96,card.lua:2407 ; card.lua:4001,图片资源/Joker/j_flash.png,在商店中每{C:attention}重掷{}一次 这张小丑牌获得{C:mult}+#1#{}倍率 {C:inactive}（当前为{C:mult}+#2#{C:inactive}倍率）
j_popcorn,爆米花,Popcorn,1-普通,5,2,,calculate_joker 按名字,,,回合结算 | 小丑区 > 计分主阶段,,+20倍率 每回合结束时 -4倍率,+20 Mult -4 Mult per round played,extra=4; mult=20,#1#=20 | #2#=4,"self.ability.mult, self.ability.extra",是,,是,是,,,97,card.lua:2948 ; card.lua:4007,图片资源/Joker/j_popcorn.png,{C:mult}+#1#{}倍率 每回合结束时 {C:mult}-#2#{}倍率
j_trousers,备用裤子,Spare Trousers,2-罕见,6,3,,calculate_joker 按名字,,,小丑区 > 出牌前 | 小丑区 > 计分主阶段,是,如果打出的牌中包含 Two Pair 则这张小丑牌获得+2倍率 （当前为+0倍率）,This Joker gains +2 Mult if played hand contains a Two Pair (Currently +0 Mult),extra=2,#1#=2 | #2#=Two Pair | #3#=0,"self.ability.extra, localize('Two Pair', 'poker_hands'), self.ability.mult",是,是,,是,,,98,card.lua:3415 ; card.lua:3989,图片资源/Joker/j_trousers.png,如果打出的牌中包含 {C:attention}#2# 则这张小丑牌获得{C:mult}+#1#{}倍率 {C:inactive}（当前为{C:red}+#3#{C:inactive}倍率）
j_ancient,古老小丑,Ancient Joker,3-稀有,8,4,,calculate_joker 按名字,,,逐张计分 > 计分区,,打出的G.GAME.current_round.ancient_card.suit牌 在计分时 会给予 X1.5 倍率 回合结束时改变需求花色,"Each played card with G.GAME.current_round.ancient_card.suit suit gives  X1.5  Mult when scored, suit changes at end of round",extra=1.5,#1#=1.5 | #2#=G.GAME.current_round.ancient_card.suit | #3#=colours = {G.C.SUITS[G.GAME.current_round.ancient_card.suit]},"self.ability.extra, localize(G.GAME.current_round.ancient_card.suit, 'suits_singular'), colours = {G.C.SUITS[G.GAME.current_round.ancient_card.suit]}",是,是,是,是,,,99,card.lua:3258,图片资源/Joker/j_ancient.png,"打出的{V:1}#2#{}牌 在计分时 会给予{X:mult,C:white} X#1# {}倍率 {s:0.8}回合结束时改变需求花色"
j_ramen,拉面,Ramen,2-罕见,6,3,,calculate_joker 按名字,,,弃牌时,,X2倍率 每弃掉一张牌 失去X0.01倍率," X2  Mult, loses  X0.01  Mult per card discarded",Xmult=2; extra=0.01,#1#=2 | #2#=0.01,"self.ability.x_mult, self.ability.extra",是,,是,是,,,100,card.lua:2760,图片资源/Joker/j_ramen.png,"{X:mult,C:white}X#1#{}倍率 每{C:attention}弃掉一张牌{} 失去{X:mult,C:white}X#2#{}倍率"
j_walkie_talkie,对讲机,Walkie Talkie,1-普通,4,2,,calculate_joker 按名字,,,逐张计分 > 计分区,,打出的每张10和4 在计分时获得+10筹码 以及+4倍率,Each played 10 or 4 gives +10 Chips and +4 Mult when scored,extra.chips=10; extra.mult=4,#1#=10 | #2#=4,"self.ability.extra.chips, self.ability.extra.mult",是,是,是,是,,,101,card.lua:3170,图片资源/Joker/j_walkie_talkie.png,打出的每张{C:attention}10{}和{C:attention}4 在计分时获得{C:chips}+#1#{}筹码 以及{C:mult}+#2#{}倍率
j_selzer,苏打水,Seltzer,2-罕见,6,3,,calculate_joker 按名字,,,重复触发 > 计分区 | 小丑区 > 出牌后,,在接下来的10次出牌中 重新触发所有 打出的卡牌,Retrigger all cards played for the next 10 hands,extra=10,#1#=10,self.ability.extra,是,,是,是,,,102,card.lua:3370 ; card.lua:3604,图片资源/Joker/j_selzer.png,在接下来的{C:attention}#1#{}次出牌中 重新触发所有 打出的卡牌
j_castle,城堡,Castle,2-罕见,6,3,,calculate_joker 按名字,,,弃牌时 | 小丑区 > 计分主阶段,是,每弃掉一张G.GAME.current_round.castle_card.suit牌 这张小丑牌获得+3筹码 每个回合花色都会变 （当前为+0筹码）,"This Joker gains +3 Chips per discarded G.GAME.current_round.castle_card.suit card, suit changes every round (Currently +0 Chips)",extra.chip_mod=3; extra.chips=0,#1#=3 | #2#=G.GAME.current_round.castle_card.suit | #3#=0 | #4#=colours = {G.C.SUITS[G.GAME.current_round.castle_card.suit]},"self.ability.extra.chip_mod, localize(G.GAME.current_round.castle_card.suit, 'suits_singular'), self.ability.extra.chips, colours = {G.C.SUITS[G.GAME.current_round.castle_card.suit]}",是,是,,是,,,103,card.lua:2817 ; card.lua:3883,图片资源/Joker/j_castle.png,每弃掉一张{V:1}#2#{}牌 这张小丑牌获得{C:chips}+#1#{}筹码 每个回合花色都会变 {C:inactive}（当前为{C:chips}+#3#{C:inactive}筹码）
j_smiley,微笑表情,Smiley Face,1-普通,4,2,,calculate_joker 按名字,,,逐张计分 > 计分区,,打出的人头牌 在计分时 给予+5倍率,Played face cards give +5 Mult when scored,extra=5,#1#=5,self.ability.extra,是,是,是,是,,,104,card.lua:3146,图片资源/Joker/j_smiley.png,打出的{C:attention}人头牌{} 在计分时 给予{C:mult}+#1#{}倍率
j_campfire,篝火,Campfire,3-稀有,9,4,,calculate_joker 按名字,,,卖出其它牌 | 回合结算,是,每售出一张牌 这张小丑牌获得X0.25倍率 Boss盲注被击败时重置倍率 （当前为X1倍率）,"This Joker gains X0.25 Mult for each card sold, resets when Boss Blind is defeated (Currently  X1  Mult)",extra=0.25,#1#=0.25 | #2#=1,"self.ability.extra, self.ability.x_mult",是,是,是,是,,,105,card.lua:2399 ; card.lua:2892,图片资源/Joker/j_campfire.png,"每{C:attention}售出{}一张牌 这张小丑牌获得{X:mult,C:white}X#1#{}倍率 {C:attention}Boss盲注{}被击败时重置倍率 {C:inactive}（当前为{X:mult,C:white}X#2#{C:inactive}倍率）"
