matrix,block_list
"[[-1, -1, -1, -1, -1, -1, -1, -1], [-1, 1, 1, 1, 1, 1, 2, 2], [-1, 4, 4, 4, 4, 4, 2, 2], [-1, 4, 4, 4, 7, 7, 7, 1], [-1, 4, 4, 4, 7, 7, 7, 1], [-1, 2, 6, 6, 3, 3, 3, 1], [-1, 2, 6, 6, 3, 3, 3, 1], [-1, 5, 5, 5, 5, 5, -1, -1]]","[17, 17, 22]"
"[[1, -1, -1, 1, 1, -1, 1, 1], [1, 1, 1, 1, 1, 1, -1, -1], [1, 1, 1, 1, 1, 1, -1, 1], [1, 1, 1, 1, 1, 1, -1, 1], [1, -1, 1, 1, -1, 1, -1, 1], [-1, -1, 1, 1, -1, -1, 1, 1], [1, -1, -1, -1, 1, -1, 1, 1], [-1, -1, -1, -1, -1, -1, 1, 1]]","[16, 36, 7]"
"[[-1, 1, 1, -1, 1, 1, -1, -1], [1, -1, -1, 1, 1, -1, 1, -1], [-1, 1, 1, 1, 1, 1, 1, 1], [-1, 1, 1, 1, 1, 1, 1, 1], [1, 1, -1, 1, 1, 1, 1, 1], [1, 1, -1, 1, 1, 1, 1, 1], [-1, -1, -1, -1, -1, -1, -1, -1], [1, 1, -1, 1, -1, -1, 1, 1]]","[11, 22, 24]"
"[[1, 1, -1, 1, 1, 1, -1, 1], [-1, -1, 1, 1, -1, -1, -1, -1], [1, 1, 1, -1, 1, 1, 1, 1], [-1, -1, -1, 1, 1, 1, 1, 1], [-1, 1, 1, 1, 1, 1, 1, 1], [-1, 1, 1, 1, 1, -1, 1, 1], [1, 1, 1, 1, 1, -1, 1, -1], [1, 1, 1, -1, -1, -1, -1, -1]]","[21, 24, 29]"
"[[-1, 1, -1, -1, 1, 1, -1, -1], [-1, -1, -1, 1, 1, 1, 1, 1], [1, 1, -1, 1, -1, -1, 1, 1], [-1, 1, -1, 1, -1, -1, -1, -1], [1, 1, -1, 1, -1, -1, 1, 1], [1, 1, -1, 1, 1, 1, 1, 1], [1, 1, -1, 1, 1, 1, 1, 1], [1, 1, -1, 1, 1, 1, 1, 1]]","[22, 31, 36]"
"[[-1, -1, 1, 1, -1, 1, 1, 1], [1, 1, 1, 1, -1, 1, 1, 1], [1, 1, 1, -1, 1, 1, 1, -1], [1, 1, 1, 1, 1, 1, 1, -1], [-1, -1, -1, -1, -1, -1, -1, -1], [1, 1, 1, 1, 1, 1, 1, -1], [1, 1, 1, 1, 1, 1, 1, -1], [1, 1, 1, 1, 1, -1, -1, 1]]","[11, 13, 22]"
"[[-1, -1, -1, -1, -1, -1, -1, -1], [-1, 1, 1, 1, -1, 1, 1, 1], [-1, 1, 1, 1, 1, 1, 1, 1], [-1, 1, 1, 1, 1, 1, 1, 1], [-1, 1, 1, 1, 1, 1, 1, 1], [-1, 1, 1, 1, 1, 1, 1, 1], [-1, 1, 1, 1, 1, 1, 1, 1], [-1, 1, 1, 1, 1, 1, 1, 1]]","[15, 21, 22]"
"[[1, 1, 1, 1, 1, -1, -1, 1], [1, 1, 1, 1, 1, 1, -1, 1], [-1, -1, 1, 1, 1, 1, 1, 1], [-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, 1, 1, 1, 1, 1, -1], [1, 1, 1, 1, 1, 1, 1, -1], [1, 1, 1, 1, 1, 1, 1, -1], [1, 1, 1, 1, 1, 1, 1, -1]]","[11, 22, 36]"
"[[-1, -1, -1, -1, -1, -1, -1, -1], [1, 1, 1, -1, 1, 1, 1, 1], [-1, 1, 1, 1, 1, 1, 1, 1], [-1, -1, 1, 1, 1, 1, 1, 1], [-1, -1, 1, 1, 1, 1, 1, -1], [1, -1, -1, 1, 1, 1, 1, 1], [1, 1, 1, 1, -1, 1, 1, 1], [1, 1, 1, 1, -1, 1, 1, 1]]","[17, 25, 35]"
"[[-1, 1, 1, 1, 4, 2, -1, -1], [-1, -1, -1, -1, -1, -1, -1, -1], [1, 3, 2, 1, 2, 3, 2, -1], [1, -1, -1, -1, -1, -1, 2, 3], [1, 1, 1, 7, 7, 1, -1, -1], [3, 3, 3, 7, 7, 2, 3, -1], [3, 3, 3, 1, 2, 2, 1, -1], [3, 3, 3, 3, 2, 2, 2, -1]]","[11, 32, 32]"
"[[-1, -1, 1, -1, -1, -1, -1, -1], [-1, 1, 1, 1, 1, -1, 1, -1], [-1, 1, 1, 1, 1, -1, -1, -1], [-1, 1, 1, 1, 1, -1, 1, 1], [-1, 1, 1, 1, 1, -1, 1, 1], [-1, 1, 1, 1, 1, 1, 1, 1], [1, -1, -1, 1, 1, 1, 1, 1], [1, 1, 1, -1, 1, 1, 1, 1]]","[18, 21, 22]"
"[[-1, -1, -1, -1, -1, -1, -1, 1], [1, 1, 1, -1, 1, 1, 1, 1], [1, 1, 1, -1, 1, 1, 1, 1], [1, 1, 1, -1, 1, 1, 1, 1], [1, 1, 1, -1, 1, 1, 1, 1], [1, 1, 1, -1, 1, 1, 1, 1], [1, 1, 1, -1, 1, 1, 1, 1], [-1, -1, -1, -1, -1, -1, -1, -1]]","[11, 22, 5]"
"[[1, 1, 1, 1, -1, -1, 1, 1], [-1, -1, 1, 1, 1, 1, 1, 1], [-1, -1, 1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1, -1, 1], [-1, 1, -1, -1, 1, 1, 1, 1], [-1, 1, -1, 1, 1, 1, 1, 1], [-1, 1, -1, 1, 1, 1, 1, -1], [1, 1, -1, -1, 1, 1, 1, 1]]","[31, 36, 9]"
"[[1, -1, 1, -1, -1, 1, -1, 1], [-1, -1, -1, 1, 1, -1, -1, 1], [-1, -1, -1, 1, -1, 1, -1, 1], [-1, 1, 1, 1, 1, 1, 1, -1], [1, -1, -1, 1, 1, 1, 1, -1], [1, -1, 1, 1, 1, 1, 1, -1], [1, 1, 1, 1, 1, 1, 1, -1], [1, 1, 1, 1, 1, 1, 1, -1]]","[22, 25, 35]"
"[[-1, -1, 1, -1, 1, -1, -1, 1], [1, 1, 1, -1, 1, 1, 1, -1], [1, 1, 1, -1, 1, 1, 1, 1], [1, 1, 1, -1, 1, 1, 1, 1], [-1, -1, -1, -1, -1, -1, -1, -1], [1, 1, 1, -1, 1, 1, 1, 1], [1, 1, 1, -1, 1, 1, 1, 1], [1, 1, 1, -1, -1, -1, 1, 1]]","[17, 22, 23]"
"[[-1, -1, -1, -1, -1, -1, -1, -1], [1, 1, 1, -1, 1, 1, 1, -1], [1, 1, 1, 1, 1, 1, 1, -1], [1, 1, 1, 1, 1, 1, 1, -1], [4, 1, 1, 1, 3, 1, 1, -1], [4, 3, 3, 3, 3, 3, 3, -1], [4, 3, 3, 3, 3, 3, 3, -1], [4, 3, 3, 3, 3, 3, 3, -1]]","[12, 15, 22]"
"[[1, 1, 1, -1, -1, -1, 2, 2], [1, 1, 1, -1, -1, 1, 1, 1], [1, 1, 1, -1, -1, 1, 1, 1], [1, 1, 1, -1, -1, 1, 1, 1], [-1, -1, -1, -1, -1, -1, -1, -1], [-1, 21, 21, 21, 21, 21, 21, 21], [-1, 21, 21, 21, 21, 21, 21, 21], [-1, 21, 21, 21, 21, 21, 21, 21]]","[3, 3, 7]"
"[[-1, 1, -1, 1, -1, -1, -1, -1], [1, 1, 1, 1, 1, -1, -1, -1], [1, 1, 1, 1, 1, 1, -1, 1], [1, 1, -1, 1, 1, -1, 1, 1], [1, 1, -1, 1, 1, -1, -1, -1], [1, -1, -1, 1, 1, 1, 1, 1], [1, -1, -1, 1, 1, 1, 1, -1], [1, -1, 1, -1, 1, 1, 1, 1]]","[26, 29, 8]"
"[[1, 1, 1, 1, -1, -1, 1, 1], [-1, -1, -1, -1, -1, -1, -1, -1], [1, 1, 1, 1, 1, 1, -1, -1], [-1, -1, 1, 1, 1, 1, 1, 1], [-1, 1, 1, 1, 1, 1, 1, 1], [-1, 1, 1, 1, 1, 1, 1, 1], [-1, 1, 1, 1, 1, 1, 1, 1], [-1, 1, 1, 1, 1, -1, 1, -1]]","[31, 9, 9]"
"[[-1, -1, -1, -1, -1, -1, -1, -1], [-1, 1, 1, 1, 1, 1, -1, 1], [-1, 1, 1, 1, 1, 1, -1, 1], [-1, 1, 1, 1, 1, 1, 1, 1], [-1, 1, 1, 1, 1, 1, 1, 1], [-1, 1, 1, 1, 1, 1, 1, 1], [-1, 1, 1, 1, 1, 1, 1, 1], [-1, 1, 1, 1, 1, 1, 1, 1]]","[11, 22, 31]"
"[[1, 1, 1, 1, -1, 1, -1, -1], [1, 1, 1, -1, -1, -1, -1, 1], [1, 1, 1, 1, -1, -1, 1, -1], [1, 1, -1, -1, -1, 1, 1, 1], [1, 1, 1, 1, -1, -1, -1, 1], [-1, -1, 1, 1, 1, 1, 1, 1], [-1, 1, 1, 1, 1, 1, 1, 1], [-1, 1, 1, 1, 1, 1, 1, 1]]","[25, 30, 31]"
"[[1, 1, -1, -1, 1, -1, 1, 1], [-1, -1, 1, 1, 1, 1, 1, 1], [1, -1, -1, 1, 1, 1, 1, 1], [1, 1, -1, 1, 1, 1, -1, 1], [1, 1, -1, 1, 1, 1, -1, 1], [1, -1, -1, 1, 1, 1, -1, 1], [-1, -1, 1, -1, -1, 1, -1, 1], [1, -1, -1, 1, 1, 1, -1, -1]]","[18, 29, 7]"
"[[1, 1, 1, 5, 5, 5, -1, -1], [1, 1, 1, 5, 5, 5, -1, -1], [2, 2, 2, 5, 5, 5, -1, -1], [-1, -1, -1, -1, -1, -1, -1, -1], [3, 2, 4, 4, 4, 3, 6, -1], [7, 7, 4, 4, 4, 3, 6, -1], [7, 7, 4, 4, 4, 3, 6, -1], [7, 7, 5, 5, 5, 3, 6, -1]]","[10, 11, 7]"
"[[1, 1, -1, 1, -1, -1, 1, 1], [1, 1, -1, -1, 1, 1, 1, -1], [-1, 1, 1, -1, 1, 1, -1, 1], [1, 1, 1, 1, -1, 1, 1, 1], [-1, -1, -1, -1, -1, 1, 1, 1], [-1, -1, -1, -1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1, 1, -1], [1, 1, 1, 1, 1, 1, 1, -1]]","[13, 16, 19]"
"[[-1, -1, 1, 1, 1, -1, -1, -1], [1, 1, -1, -1, 1, 1, 1, 1], [1, 1, -1, -1, 1, 1, 1, 1], [1, -1, 1, 1, 1, 1, 1, 1], [-1, -1, -1, -1, -1, -1, -1, -1], [1, 1, -1, -1, -1, 1, 1, 1], [1, 1, -1, 1, 1, 1, 1, 1], [1, 1, -1, 1, 1, 1, -1, 1]]","[10, 21, 9]"
"[[-1, 1, 1, 1, 4, 5, 5, 5], [-1, 1, 4, 4, 4, 1, 5, 5], [-1, 3, 4, 4, 4, 6, 5, 1], [-1, -1, -1, -1, -1, -1, -1, -1], [6, 6, 6, 1, 5, -1, 6, 6], [1, 5, 6, 7, 6, -1, 1, 6], [6, 7, 7, 7, 6, 1, 5, -1], [6, -1, -1, -1, -1, -1, -1, 5]]","[11, 21, 4]"
"[[-1, -1, -1, -1, -1, -1, -1, -1], [-1, -1, 2, 2, 2, 2, 2, 2], [-1, -1, 2, 2, 2, 2, 2, 2], [3, -1, 4, 4, 4, 4, 1, 1], [3, -1, 3, 3, 3, 4, 1, 1], [3, -1, 4, 3, 3, 4, 1, 1], [3, -1, 4, 3, 4, 4, 4, 4], [3, -1, 4, 3, 3, 4, 4, 4]]","[11, 22, 36]"
"[[-1, -1, -1, -1, -1, -1, 1, 1], [1, 1, 1, -1, -1, -1, 1, 1], [1, 1, 1, -1, 1, 1, 1, 1], [1, 1, 1, -1, 1, 1, -1, 1], [1, 1, 1, 1, 1, 1, -1, -1], [1, 1, 1, 1, 1, 1, -1, -1], [1, 1, 1, 1, 1, 1, 1, -1], [1, 1, 1, 1, 1, 1, 1, -1]]","[3, 3, 5]"
"[[1, -1, -1, -1, -1, -1, 2, 3], [3, 1, 2, 2, 2, 1, 1, -1], [1, 3, 2, 1, -1, 3, 3, -1], [-1, 2, 2, 3, 2, 3, -1, -1], [-1, 3, 2, 1, 3, 3, 3, 1], [-1, 2, 3, 1, 1, 2, 1, 3], [-1, 4, 4, 4, 4, 4, -1, -1], [-1, 3, 7, 7, 7, 2, 2, 2]]","[11, 11, 28]"
"[[-1, -1, -1, -1, -1, -1, -1, -1], [-1, 1, 2, 2, 2, 2, 6, 5], [-1, 1, 5, 2, 2, 2, 6, 6], [-1, 1, 1, 2, 2, 2, 4, 4], [-1, 1, 1, 1, 1, 5, 2, 4], [-1, 1, 1, 7, 2, 2, 2, 4], [-1, 1, 1, 1, 2, 2, 2, -1], [-1, 3, 3, 3, 2, 2, 2, -1]]","[11, 7, 7]"
"[[1, 1, 1, -1, -1, -1, -1, -1], [-1, 1, 1, 1, 1, 1, 1, 1], [-1, -1, 1, 1, 1, 1, 1, 1], [-1, 1, 1, 1, 1, 1, 1, 1], [-1, -1, -1, -1, -1, -1, -1, -1], [-1, 1, 1, 1, 1, 1, 1, 1], [-1, 1, 1, 1, 1, 1, 1, 1], [-1, 1, 1, 1, 1, 1, 1, 1]]","[22, 37, 5]"
"[[-1, -1, 1, -1, 1, -1, -1, 1], [1, 1, 1, -1, 1, 1, 1, -1], [1, 1, 1, -1, 1, 1, 1, 1], [1, 1, 1, -1, 1, 1, 1, 1], [1, 1, 1, -1, -1, -1, -1, -1], [1, 1, 1, -1, 1, 1, 1, 1], [1, 1, 1, -1, 1, 1, 1, 1], [-1, -1, -1, -1, -1, -1, 1, 1]]","[11, 23, 7]"
"[[-1, -1, 1, -1, -1, 1, 1, -1], [1, 1, 1, 1, -1, 1, 1, 1], [-1, -1, -1, -1, -1, 1, 1, 1], [1, 1, -1, 1, 1, 1, 1, 1], [-1, -1, -1, -1, -1, -1, -1, -1], [1, 1, 1, 1, 1, 1, 1, -1], [1, 1, 1, 1, 1, 1, 1, -1], [-1, 1, 1, 1, 1, 1, -1, 1]]","[12, 29, 30]"
"[[-1, 1, 1, 1, -1, 1, 1, -1], [1, 1, 1, 1, 1, 1, 1, -1], [1, 1, 1, 1, 1, 1, 1, -1], [-1, 1, 1, 1, 1, 1, 1, -1], [-1, -1, -1, -1, 1, 1, 1, 1], [-1, -1, 1, 1, 1, 1, 1, 1], [1, 1, -1, 1, 1, 1, 1, -1], [1, -1, 1, 1, 1, -1, -1, -1]]","[7, 7, 8]"
"[[1, -1, 1, 1, -1, -1, 2, 4], [2, 6, 6, 6, -1, 1, 4, 4], [4, 6, 6, 6, -1, 1, 2, 4], [1, 1, 1, 1, -1, -1, -1, -1], [1, -1, -1, -1, -1, -1, -1, -1], [1, 2, 7, 7, 1, 1, 1, -1], [1, 4, 7, 1, 2, 2, 1, -1], [-1, 2, 4, 2, 2, 2, 1, -1]]","[17, 31, 7]"
"[[-1, -1, -1, -1, -1, -1, -1, -1], [1, 1, 1, 1, 1, 1, 1, -1], [1, 1, 1, 1, 1, 1, 1, -1], [1, 1, 1, 1, 1, 1, 1, -1], [1, 1, 1, 1, 1, 1, -1, -1], [1, 1, 1, 1, 1, 1, 1, -1], [1, 1, 1, 1, 1, 1, 1, -1], [1, 1, 1, 1, 1, 1, 1, -1]]","[11, 12, 28]"
"[[1, -1, -1, 1, 1, 1, -1, 1], [1, 1, 1, -1, -1, -1, -1, -1], [-1, 1, 1, 1, 1, 1, 1, -1], [-1, 1, 1, 1, 1, -1, 1, -1], [-1, 1, 1, 1, 1, 1, 1, 1], [-1, 1, 1, 1, 1, 1, 1, 1], [1, -1, 1, 1, 1, 1, 1, -1], [-1, -1, 1, 1, 1, 1, -1, 1]]","[12, 7, 7]"
"[[-1, -1, -1, -1, -1, -1, -1, -1], [-1, 1, 1, 1, 1, 1, 1, -1], [1, 1, 1, 1, 1, 1, 1, -1], [1, 1, 1, 1, 1, 1, 1, -1], [-1, -1, -1, 1, 1, 1, 1, 1], [-1, 1, 1, 1, 1, 1, 1, 1], [-1, 1, 1, 1, 1, 1, 1, 1], [-1, 1, 1, 1, 1, 1, 1, 1]]","[17, 3, 34]"
"[[-1, -1, -1, -1, -1, -1, -1, -1], [-1, 1, 1, 1, 1, 1, 1, 1], [-1, 1, 1, 1, 1, 1, 1, 1], [-1, -1, 1, 1, 1, 1, -1, 1], [-1, 1, 1, 1, 1, 1, 1, 1], [-1, 1, 1, 1, 1, 1, 1, -1], [-1, 1, 1, 1, 1, 1, -1, -1], [-1, 1, -1, 1, 1, 1, 1, 1]]","[11, 25, 28]"
"[[-1, -1, -1, -1, -1, -1, 1, 1], [-1, 1, 1, 1, 1, 1, 1, 1], [-1, 1, 1, 1, 1, 1, 1, 1], [-1, 1, 1, 1, 1, 1, 1, 1], [-1, 1, 1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1, -1, -1], [1, 1, 1, 1, 1, 1, -1, -1], [1, 1, 1, 1, 1, 1, -1, -1]]","[11, 22, 36]"
"[[1, -1, 1, 1, -1, 5, 4, 4], [-1, -1, 4, 6, 6, 6, 4, 4], [4, -1, -1, 1, 5, 6, 4, 4], [-1, -1, -1, 1, -1, 5, 5, 1], [4, 4, 4, -1, 4, 5, 5, 5], [5, 5, 5, 5, 5, -1, -1, -1], [4, 5, 5, 5, 1, 1, 1, -1], [-1, -1, 5, 1, 1, 1, 1, 4]]","[10, 20, 30]"
"[[-1, -1, 1, 1, 1, 1, -1, 1], [1, 1, -1, 1, 1, 1, 1, -1], [-1, -1, -1, 1, 1, 1, 1, 1], [-1, -1, -1, 1, 1, 1, 1, 1], [-1, 1, 1, 1, 1, 1, 1, -1], [1, 1, 1, 1, 1, 1, 1, -1], [1, -1, -1, -1, -1, -1, 1, 1], [-1, 1, -1, 1, -1, -1, 1, 1]]","[20, 22, 25]"
"[[-1, -1, -1, -1, -1, 1, 1, -1], [1, 1, 1, -1, -1, 1, 1, 1], [1, 1, 1, -1, -1, -1, -1, 1], [1, 1, 1, -1, 1, 1, 1, 1], [1, 1, 1, -1, 1, 1, 1, 1], [1, 1, 1, -1, 1, 1, 1, 1], [1, 1, 1, -1, 1, 1, 1, 1], [1, 1, 1, -1, 1, 1, 1, 1]]","[22, 36, 5]"
"[[-1, -1, -1, 1, 1, 1, 1, 1], [-1, -1, -1, 1, 1, 1, 1, 1], [-1, 1, 1, -1, -1, -1, 1, 1], [-1, 1, 1, 1, 1, 1, 1, 1], [-1, 1, 1, 1, -1, -1, 1, 1], [-1, 1, 1, 1, 1, 1, 1, 1], [-1, 1, 1, 1, 1, 1, 1, 1], [-1, 1, 1, 1, 1, 1, -1, -1]]","[13, 35, 7]"
"[[-1, 1, 1, 1, 1, 1, 1, 1], [-1, 1, -1, 1, 1, 1, -1, -1], [-1, -1, -1, -1, -1, -1, -1, 1], [-1, 1, 1, 1, 1, 1, -1, 1], [-1, 1, 1, 1, 1, 1, -1, 1], [-1, 1, 1, 1, 1, 1, 1, 1], [-1, 1, 1, 1, 1, 1, 1, 1], [-1, 1, 1, -1, -1, 1, 1, 1]]","[10, 11, 12]"
"[[-1, -1, -1, -1, -1, 1, -1, -1], [1, 1, 1, 1, 1, 1, 1, -1], [1, 1, 1, 1, 1, -1, 1, 1], [1, 1, 1, 1, 1, -1, 1, -1], [1, 1, 1, -1, -1, 1, -1, -1], [1, 1, 1, 1, 1, 1, -1, -1], [1, 1, 1, 1, 1, 1, -1, -1], [1, 1, 1, 1, 1, 1, 1, -1]]","[3, 3, 5]"
"[[-1, -1, -1, 1, 1, 1, 1, -1], [-1, -1, 1, 1, 1, -1, -1, 1], [1, 1, 1, 1, 1, -1, -1, 1], [-1, 1, 1, 1, 1, 1, 1, -1], [-1, 1, 1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1, -1, 1, 1], [-1, -1, -1, -1, -1, -1, -1, -1], [1, 1, 1, 1, 1, -1, 1, 1]]","[11, 11, 14]"
"[[1, 1, 1, 1, 1, -1, -1, 1], [1, 1, 1, 1, 1, 1, -1, 1], [-1, -1, 1, 1, 1, 1, 1, 1], [-1, -1, 1, 1, 1, 1, 1, -1], [-1, -1, -1, -1, -1, -1, -1, -1], [1, 1, 1, 1, 1, 1, 1, -1], [1, 1, 1, 1, 1, 1, 1, -1], [1, 1, 1, 1, 1, 1, 1, -1]]","[11, 22, 36]"
"[[-1, -1, -1, -1, -1, -1, -1, -1], [-1, 1, 5, 3, 1, 5, 4, 3], [-1, 4, 3, 2, 4, 1, 1, 6], [-1, 2, 1, 1, 5, 2, 2, 5], [-1, -1, 6, 2, 7, 4, 3, 7], [-1, 3, 2, 1, 5, 4, 2, 3], [-1, 3, 4, 1, 1, 1, 2, 1], [-1, 5, 2, 6, 1, 2, 1, 1]]","[11, 21, 27]"
"[[-1, 1, -1, 1, -1, 1, -1, 1], [-1, 1, -1, 1, 1, 1, 1, -1], [-1, 1, 1, 1, 1, 1, 1, -1], [-1, -1, -1, -1, -1, -1, -1, -1], [1, -1, -1, 1, 1, 1, 1, 1], [1, -1, 1, 1, 1, 1, 1, 1], [-1, 1, 1, 1, 1, 1, 1, 1], [-1, 1, 1, 1, 1, 1, 1, 1]]","[11, 11, 7]"
"[[-1, -1, 1, 1, 1, 1, 1, 1], [1, -1, 1, 1, 1, 1, 1, -1], [1, -1, 1, 1, 1, 1, 1, -1], [1, -1, 1, 1, 1, 1, 1, 1], [1, -1, 1, 1, 1, -1, -1, -1], [1, -1, -1, -1, -1, -1, -1, -1], [1, -1, 1, -1, 1, 1, 1, 1], [1, -1, 1, 1, -1, -1, -1, 1]]","[13, 26, 35]"
"[[-1, 1, -1, -1, -1, 1, -1, -1], [1, 1, -1, -1, 1, 1, 1, 1], [-1, 1, 1, -1, 1, -1, 1, 1], [1, 1, 1, -1, 1, 1, -1, 1], [1, 1, 1, -1, 1, 1, -1, 1], [1, 1, 1, 1, 1, 1, 1, -1], [1, 1, 1, 1, 1, 1, -1, 1], [-1, -1, 1, -1, 1, 1, 1, 1]]","[11, 34, 7]"
"[[-1, -1, -1, -1, -1, -1, 1, 1], [1, 1, -1, 1, 1, -1, -1, 1], [1, 1, -1, 1, 1, -1, 1, 1], [-1, -1, -1, 1, 1, -1, -1, -1], [1, 1, -1, 1, 1, -1, 1, 1], [1, 1, -1, 1, 1, -1, 1, 1], [1, 1, -1, -1, 1, -1, 1, 1], [1, 1, 1, 1, 1, -1, 1, 1]]","[11, 24, 42]"
"[[-1, 1, 1, -1, -1, -1, -1, -1], [1, 1, 1, 1, 1, 1, 1, -1], [1, -1, -1, 1, 1, -1, 1, 1], [1, 1, -1, 1, 1, -1, -1, 1], [-1, 1, 1, 1, -1, 1, 1, 1], [1, 1, 1, -1, 1, 1, 1, 1], [1, 1, 1, 1, 1, -1, -1, -1], [-1, 1, 1, 1, 1, 1, 1, -1]]","[15, 21, 27]"
"[[1, -1, -1, -1, -1, -1, 1, 1], [1, 1, 1, 1, 1, 1, 1, -1], [1, 1, 1, 1, -1, 1, 1, -1], [-1, 1, 1, 1, 1, 1, -1, -1], [-1, 1, 1, 1, 1, 1, 1, 1], [-1, 1, 1, 1, 1, 1, 1, 1], [-1, -1, -1, 1, 1, 1, 1, 1], [-1, 1, 1, 1, 1, 1, 1, 1]]","[29, 34, 35]"
"[[-1, -1, -1, 1, -1, 1, -1, -1], [1, 1, 1, 1, 1, 1, -1, -1], [1, 1, 1, -1, 1, -1, -1, -1], [1, 1, 1, -1, 1, 1, 1, 1], [1, 1, 1, -1, 1, 1, 1, 1], [1, 1, 1, -1, 1, 1, 1, 1], [1, 1, 1, -1, 1, 1, 1, 1], [1, 1, 1, -1, 1, 1, 1, 1]]","[22, 36, 5]"
"[[-1, -1, 1, 1, -1, -1, -1, 1], [-1, -1, -1, -1, 1, 1, 1, -1], [1, 1, 1, 1, 1, 1, -1, -1], [1, 1, 1, 1, 1, 1, 1, -1], [1, 1, 1, 1, 1, 1, 1, -1], [-1, -1, 1, 1, 1, 1, 1, 1], [1, -1, 1, 1, 1, 1, -1, 1], [-1, -1, 1, 1, 1, 1, 1, -1]]","[29, 5, 8]"
"[[-1, 1, 1, 1, 1, 1, 1, -1], [-1, -1, -1, -1, -1, 1, -1, 1], [-1, 1, 1, 1, 1, -1, -1, 1], [-1, -1, 1, 1, -1, 1, -1, -1], [1, 1, 1, 1, 1, 1, -1, -1], [1, 1, 1, 1, 1, 1, 1, -1], [-1, 1, 1, 1, 1, 1, 1, -1], [-1, 1, 1, 1, 1, -1, -1, 1]]","[11, 17, 18]"
"[[1, 1, 1, 1, -1, 1, 1, 1], [1, 1, 1, 1, -1, 1, 1, -1], [-1, -1, -1, -1, -1, -1, -1, -1], [1, 1, 1, 1, 1, 1, 1, -1], [1, 1, 1, 1, 1, 1, 1, -1], [1, 1, 1, 1, -1, -1, 1, -1], [1, 1, 1, 1, -1, 1, 1, 1], [-1, -1, -1, -1, -1, -1, -1, -1]]","[17, 22, 23]"
"[[-1, -1, 1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1, -1, 1, 1], [1, 1, 1, 1, 1, -1, 1, 1], [1, 1, 1, 1, 1, -1, -1, 1], [1, 1, 1, 1, -1, -1, -1, 1], [1, 1, 1, 1, 1, -1, -1, 1], [1, 1, 1, -1, 1, -1, -1, -1], [1, 1, -1, -1, 1, 1, -1, -1]]","[16, 30, 42]"
"[[-1, -1, 1, -1, -1, -1, -1, -1], [-1, -1, -1, 1, -1, 1, 1, 1], [-1, 1, 1, 1, 1, 1, 1, 1], [-1, 1, 1, 1, 1, 1, 1, 1], [-1, 1, 1, 1, 1, 1, 1, 1], [-1, 1, 1, 1, 1, 1, 1, 1], [-1, 1, 1, 1, 1, 1, 1, 1], [-1, 1, 1, 1, 1, 1, 1, 1]]","[11, 22, 27]"
"[[-1, -1, -1, -1, -1, -1, -1, -1], [1, 1, 1, -1, 5, 5, 5, 1], [7, 7, 7, -1, 7, 7, 7, 1], [7, 7, 7, -1, 7, 7, 7, 1], [7, 7, 7, -1, 7, 7, 7, 1], [7, 7, 7, -1, 6, 6, 6, 1], [7, 7, 7, -1, 6, 6, 6, 1], [7, 7, 7, -1, 6, 6, 6, 1]]","[17, 22, 3]"
"[[1, 1, -1, 1, -1, 1, 1, -1], [1, 1, 1, 1, -1, 1, 1, 1], [1, 1, 1, -1, -1, 1, 1, 1], [1, 1, -1, 1, 1, 1, 1, 1], [-1, 1, 1, 1, 1, 1, -1, -1], [1, -1, 1, 1, 1, 1, -1, -1], [1, -1, 1, 1, 1, -1, -1, -1], [-1, 1, 1, 1, 1, -1, -1, -1]]","[13, 29, 36]"
"[[1, 1, -1, -1, -1, -1, -1, -1], [1, 1, 1, 1, 1, 1, 1, -1], [-1, -1, -1, 1, 1, 1, 1, -1], [1, 1, 1, 1, 1, 1, 1, -1], [1, 1, 1, 1, 1, 1, 1, -1], [1, 1, 1, 1, 1, 1, 1, -1], [1, 1, 1, 1, 1, 1, 1, -1], [1, 1, 1, 1, 1, 1, 1, -1]]","[11, 22, 5]"
"[[-1, 1, -1, -1, -1, -1, 1, -1], [1, 1, 1, 1, 1, 1, 1, -1], [-1, 1, 1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1, -1, -1], [1, 1, 1, 1, 1, -1, -1, 1], [-1, 1, 1, 1, 1, 1, -1, 1], [-1, -1, 1, 1, 1, 1, 1, 1], [1, 1, 1, 1, 1, 1, -1, 1]]","[11, 17, 4]"
"[[-1, 1, 1, 1, 1, 1, 1, -1], [-1, 1, 1, 1, 1, 1, 1, -1], [-1, 1, 1, 1, 1, 1, 1, 1], [-1, 1, 1, 1, 1, 1, 1, 1], [-1, 1, 1, 1, 1, 1, 1, 1], [-1, 1, 1, 1, 1, 1, 1, 1], [-1, 1, 1, 1, 1, 1, 1, 1], [-1, -1, -1, -1, -1, -1, -1, -1]]","[11, 7, 7]"
