bundle,资产路径,格式,骨架名,骨骼,插槽,皮肤,附件,动画数,总时长秒,图集页,贴图齐套,图集尺寸,贴图格式,实际尺寸,宽,高,落盘,文件
gl_fruit,assets/effects/juzhongdianzan/juzhongdianzan,Spine 3.8-from-4.0-from-4.1.24,,58,54,1,54,1,2.0,1,是,2048x1024,PNG,2048x1024,954.55,936,骨架/gl_fruit/assets/effects/juzhongdianzan,3
gl_fruit,assets/effects/miaozhun/miaozhun,Spine 3.8.99,,13,15,1,9,4,18.67,1,是,512x512,PNG,512x512,291,291,骨架/gl_fruit/assets/effects/miaozhun,3
gl_fruit,assets/effects/samefruit/hcdxg_Prompteff,Spine 3.8.99,,6,4,1,4,4,5.33,1,是,226x273,PNG,226x273,109.14,113.62,骨架/gl_fruit/assets/effects/samefruit,3
gl_fruit,assets/effects/shouzhi/shouzhi,Spine 3.8.99,,7,2,1,2,6,7.93,1,是,453x256,PNG,453x256,288.21,291.52,骨架/gl_fruit/assets/effects/shouzhi,3
gl_fruit,assets/effects/yld/hcdxg_gameplat_yld,Spine 3.8.99,,30,2,1,2,5,9.17,1,是,551x179,PNG,551x179,100.93,98.51,骨架/gl_fruit/assets/effects/yld,3
gl_hall,gl_result/resource/spine/lihua,Spine 3.8.99,,81,72,1,72,1,3.57,1,是,913x366,PNG,913x366,2631.49,1870.88,骨架/gl_hall/gl_result/resource/spine,3
gl_hall,gl_result/resource/spine/pingju,Spine 3.8-from-4.0-from-4.1.24,,13,16,1,15,2,1.6,1,是,1338x376,PNG,1338x376,1420.7,712.26,骨架/gl_hall/gl_result/resource/spine,3
gl_hall,gl_result/resource/spine/shibaijiemian,Spine 3.8-from-4.0-from-4.1.24,,56,43,1,43,2,3.1,1,是,1493x1523,PNG,1493x1523,915.62,719.21,骨架/gl_hall/gl_result/resource/spine,3
gl_hall,gl_result/resource/spine/xiaoguo,Spine 3.8.99,,47,40,1,39,3,11.73,1,是,172x283,PNG,172x283,1589.43,2241.85,骨架/gl_hall/gl_result/resource/spine,3
gl_hall,gl_set/resource/effect/icon_entrance_export_ske,DragonBones 5.5,Armature,15,12,1,12,1,2.33,1,是,375x378,PNG,375x378,177.76,210.29,骨架/gl_hall/gl_set/resource/effect,3
gl_hall,resource/adx/adv_pass_ske,DragonBones 5.5,armatureName,3,3,1,2,1,0.67,1,是,329x228,PNG,329x228,326,305.94,骨架/gl_hall/resource/adx,3
gl_hall,resource/spine/check_net_ske,DragonBones 5.5,Armature,4,3,1,3,2,0.67,1,是,949x154,PNG,949x154,664,375.49,骨架/gl_hall/resource/spine,3
gl_hall,resource/spine/loading_ske,DragonBones 5.5,Armature,8,7,1,7,3,2.47,1,是,485x115,PNG,485x115,297,269.72,骨架/gl_hall/resource/spine,3
gl_mahjong,assets/effects/Mahjong_AllComboEffect/Mahjong_AllComboEffect,Spine 3.8.99,,89,44,1,44,2,3.57,1,是,337x128,PNG,337x128,1244.59,437.84,骨架/gl_mahjong/assets/effects/Mahjong_AllComboEffect,3
gl_mahjong,assets/effects/Mahjong_BlockEffect/gameplay_redkuang,Spine 3.8.99,,1,1,1,1,3,0.13,1,是,245x299,PNG,245x299,253,307,骨架/gl_mahjong/assets/effects/Mahjong_BlockEffect,3
gl_mahjong,assets/effects/Mahjong_CanClickEffect/mahjong_gameplay_tips,Spine 3.8.99,,5,5,1,4,1,3.0,1,是,510x197,PNG,510x197,0,0,骨架/gl_mahjong/assets/effects/Mahjong_CanClickEffect,3
gl_mahjong,assets/effects/Mahjong_Collosion_combo_V2/Mahjong_Collosion_combo_V2,Spine 3.8.99,,39,37,1,35,1,1.0,1,是,625x240,PNG,625x240,1080,1920,骨架/gl_mahjong/assets/effects/Mahjong_Collosion_combo_V2,3
gl_mahjong,assets/effects/Mahjong_Collosion_normal_V2/Mahjong_Collosion_normal_V2,Spine 3.8.99,,35,32,1,32,1,1.0,1,是,260x404,PNG,260x404,1080,1920,骨架/gl_mahjong/assets/effects/Mahjong_Collosion_normal_V2,3
gl_mahjong,assets/effects/Mahjong_Combo/Mahjong_Combo,Spine 3.8.99,,16,13,1,13,1,0.57,1,是,561x236,PNG,561x236,374.78,374.78,骨架/gl_mahjong/assets/effects/Mahjong_Combo,3
gl_mahjong,assets/effects/Mahjong_Prophint_V2/Mahjong_Prophint_V2,Spine 3.8.99,,5,6,1,6,1,3.0,1,是,903x286,PNG,903x286,293.65,1187.86,骨架/gl_mahjong/assets/effects/Mahjong_Prophint_V2,3
gl_mahjong,assets/effects/Mahjong_Selected_V2/Mahjong_Selected_V2,Spine 3.8.99,,18,19,1,19,2,6.0,1,是,766x306,PNG,766x306,325.22,379.76,骨架/gl_mahjong/assets/effects/Mahjong_Selected_V2,3
gl_mahjong,assets/effects/Mahjong_UIGroundEff/Mahjong_UIGroundEff,Spine 3.8.99,,29,25,1,25,1,3.0,1,是,341x236,PNG,341x236,256,256,骨架/gl_mahjong/assets/effects/Mahjong_UIGroundEff,3
gl_mahjong,assets/effects/Mahjong_rewardEffect/gameplay_xzjlc,Spine 3.8.99,,42,27,1,27,4,5.63,1,是,1066x254,PNG,1066x254,0,0,骨架/gl_mahjong/assets/effects/Mahjong_rewardEffect,3
gl_mahjong,assets/experiment/GLMahjongComboEffectText/Mahjong_ComboStimulate_Flower/Mahjong_ComboStimulate_Flower,Spine 3.8.99,,99,95,1,95,1,2.0,1,是,344x150,PNG,344x150,1300.71,2848.63,骨架/gl_mahjong/assets/experiment/GLMahjongComboEffectText/Mahjong_ComboStimulate_Flower,3
gl_oneline,GameRes/ Effect/HsBlockFill_0414,Spine 3.8.99,,16,11,1,10,12,8.9,1,是,446x660,PNG,446x660,0,0,骨架/gl_oneline/GameRes/ Effect,3
gl_oneline,GameRes/ Effect/HsBlockFill_0418,Spine 3.8.99,,16,11,1,11,11,8.57,1,是,386x828,PNG,386x828,0,0,骨架/gl_oneline/GameRes/ Effect,3
gl_oneline,GameRes/ Effect/Oneline_gameplay_king,Spine 3.8.99,,6,7,1,7,1,0.47,1,是,376x219,PNG,376x219,201.6,201.6,骨架/gl_oneline/GameRes/ Effect,3
gl_oneline,GameRes/ Effect/finger,Spine 3.8.99,,7,2,1,2,6,7.93,1,是,453x256,PNG,453x256,288.21,291.52,骨架/gl_oneline/GameRes/ Effect,3
gl_oneline,GameRes/ Effect/lizi,Spine 3.8.99,,12,9,1,9,1,0.7,1,是,266x236,PNG,266x236,705.8,131.64,骨架/gl_oneline/GameRes/ Effect,3
gl_oneline,GameRes/ Effect/oneLine_gameplay_crownTips,Spine 3.8.99,,6,6,1,6,3,2.6,1,是,268x204,PNG,268x204,196.87,199.42,骨架/gl_oneline/GameRes/ Effect,3
gl_oneline,GameRes/Effect/OneLine_gameplay_tips,Spine 3.8.99,,3,2,1,2,6,2.87,1,是,180x55,PNG,180x55,54,51,骨架/gl_oneline/GameRes/Effect,3
gl_oneline,GameRes/Effect/oneline_gameplay_warning,Spine 3.8.99,,5,4,1,4,1,1.0,1,是,347x177,PNG,347x177,1080,1920,骨架/gl_oneline/GameRes/Effect,3
gl_onet,resource/Effect/Experiment/showUpdateCapcityAnima/PowerUP,Spine 3.8-from-4.0-from-4.1.24,,6,5,1,4,1,2.0,1,是,754x80,PNG,754x80,1080,1920,骨架/gl_onet/resource/Effect/Experiment/showUpdateCapcityAnima,3
gl_onet,resource/Effect/spine/gameplay_bg_xyllk_ske,DragonBones 5.0,armatureName,12,8,1,8,1,2.0,1,是,248x236,PNG,248x236,699.28,233,骨架/gl_onet/resource/Effect/spine,3
gl_onet,resource/Effect/spine/lihua,Spine 3.8.99,,81,72,1,72,1,3.57,1,是,913x366,PNG,913x366,2631.49,1870.88,骨架/gl_onet/resource/Effect/spine,3
gl_onet,resource/Effect/spine/skeleton,Spine 3.8.99,,141,137,1,137,17,16.0,1,是,1807x548,PNG,1807x548,1358.45,978.32,骨架/gl_onet/resource/Effect/spine,3
gl_sudoku,res/spine/aixin/aixin_01,Spine 3.8-from-4.0-from-4.1.24,,9,9,1,8,3,3.0,1,是,276x40,PNG,276x40,166.42,73.75,骨架/gl_sudoku/res/spine/aixin,3
gl_sudoku,res/spine/hand/skeleton,Spine 3.8-from-4.0-from-4.1.24,,7,5,1,4,10,10.63,1,是,460x260,PNG,460x260,293.48,290.17,骨架/gl_sudoku/res/spine/hand,3
gl_sudoku,res/spine/word/gameplay_fzjl,Spine 3.8.99,,107,96,1,96,1,1.63,1,是,424x231,PNG,424x231,0,0,骨架/gl_sudoku/res/spine/word,3
gl_tictactoe,resource/effect/Jingziqi_qizi,Spine 3.8.99,,54,84,1,79,9,4.37,1,是,1904x302,PNG,1904x302,1185.6,1191.68,骨架/gl_tictactoe/resource/effect,3
gl_tictactoe,resource/effect/Jingziqi_qizi_v2,Spine 3.8.92,,54,83,1,79,10,5.63,1,是,1032x549,PNG,1032x549,1185.6,1191.68,骨架/gl_tictactoe/resource/effect,3
gl_tictactoe,resource/effect/gameplay_word,Spine 3.8.99,,6,4,1,4,2,2.13,1,是,997x657,PNG,997x657,726,214,骨架/gl_tictactoe/resource/effect,3
gl_watersort,resources/res/gameplay_par,Spine 3.8.99,,20,17,1,17,3,2.47,1,是,929x422,PNG,929x422,0,0,骨架/gl_watersort/resources/res,3
gl_watersort,resources/spine/finger,Spine 3.8.99,,7,2,1,2,6,7.93,1,是,453x256,PNG,453x256,288.21,291.52,骨架/gl_watersort/resources/spine,3
gl_watersort,resources/spine/lizi,Spine 3.8.99,,12,9,1,9,1,0.7,1,是,266x236,PNG,266x236,705.8,131.64,骨架/gl_watersort/resources/spine,3
gl_watersort,resources/spine/nopixel_watersort_gameplay_thumb,Spine 3.8.99,,16,7,1,7,1,1.7,1,是,538x238,PNG,538x238,128.19,128.19,骨架/gl_watersort/resources/spine,3
gl_watersort,resources/spine/skeleton,Spine 3.8.99,,202,155,1,155,62,42.5,1,是,683x532,PNG,683x532,0,0,骨架/gl_watersort/resources/spine,3
gl_watersort,resources/spine/spineNew,Spine 3.8.99,,202,165,1,165,62,42.5,1,是,1080x524,PNG,1080x524,0,0,骨架/gl_watersort/resources/spine,3
mainTraits,dragonbones/boardEffect/clearComboAnim/gameplay_welldone_ske,DragonBones 5.0,Armature,95,76,1,76,2,9.7,1,是,368x238,PNG,368x238,0,0,骨架/mainTraits/dragonbones/boardEffect/clearComboAnim,3
mainTraits,dragonbones/boardEffect/gamePlayDianzan/skeleton37_ske,DragonBones 5.0,armatureName,21,17,1,17,4,8.0,1,是,496x513,PNG,496x513,0,0,骨架/mainTraits/dragonbones/boardEffect/gamePlayDianzan,3
mainTraits,dragonbones/eliminate/comboRainbow/newArt/playgame_elimination_ske,DragonBones 5.5,Armature,64,44,1,44,16,14.93,1,是,512x1024,PNG,512x1024,0,0,骨架/mainTraits/dragonbones/eliminate/comboRainbow/newArt,3
mainTraits,dragonbones/eliminate/comboRainbow/playgame_elimination2_ske,DragonBones 5.5,Armature,35,34,1,34,8,8.54,1,是,503x623,PNG,503x623,1152.03,135,骨架/mainTraits/dragonbones/eliminate/comboRainbow,3
mainTraits,dragonbones/eliminate/comboRainbow/playgame_elimination_ske,DragonBones 5.5,Armature,64,44,1,44,18,16.79,1,是,602x610,PNG,602x610,0,0,骨架/mainTraits/dragonbones/eliminate/comboRainbow,3
mainTraits,dragonbones/encourage/new_best_score/gameplay_newBest_ske,DragonBones 5.5,armatureName,26,26,1,26,2,3.53,1,是,1024x701,PNG,1024x701,748,574.32,骨架/mainTraits/dragonbones/encourage/new_best_score,3
mainTraits,dragonbones/modeChoice/firstHomeGuide/main_word_ske,DragonBones 5.5,Armature,6,4,1,3,6,4.0,1,是,399x310,PNG,399x310,0,0,骨架/mainTraits/dragonbones/modeChoice/firstHomeGuide,3
mainTraits,dragonbones/modeChoice/newSeasonGuidanceTrait/main_button_adventure_ske,DragonBones 5.5,Armature,5,4,1,4,1,0.97,1,是,380x231,PNG,380x231,185.79,160.93,骨架/mainTraits/dragonbones/modeChoice/newSeasonGuidanceTrait,3
mainTraits,dragonbones/preEliminate/comboRainbow/gameplay_eliminatePrompt_ske,DragonBones 5.0,gameplay_eliminatePrompt,37,39,1,39,2,5.9,1,是,963x441,PNG,963x441,960,220,骨架/mainTraits/dragonbones/preEliminate/comboRainbow,3
mainTraits,dragonbones/preEliminate/comboRainbow/newArt/gameplay_eliminatePrompt_ske,DragonBones 5.5,gameplay_eliminatePrompt,37,36,1,36,2,5.9,1,是,512x256,PNG,512x256,892.97,158.38,骨架/mainTraits/dragonbones/preEliminate/comboRainbow/newArt,3
mainTraits,dragonbones/preEliminate/gameplay_eliminatePrompt_ske,DragonBones 5.5,gameplay_eliminatePrompt,37,36,1,36,20,75.67,1,是,1014x331,PNG,1014x331,960,220,骨架/mainTraits/dragonbones/preEliminate,3
resources,dragonbones/achievement/badge_icon_smallPanel_ske,DragonBones 5.5,Armature,52,48,1,48,7,14.47,1,是,2048x1024,PNG,2048x1024,505.75,499.07,骨架/resources/dragonbones/achievement,3
resources,dragonbones/achievement/main_icon_achievement_ske,DragonBones 5.5,Armature,8,15,1,15,1,2.67,1,是,459x509,PNG,459x509,298,298,骨架/resources/dragonbones/achievement,3
resources,dragonbones/blockProducer/CK_ske,DragonBones 5.5,Armature,7,5,1,5,2,1.27,1,是,273x306,PKM(ETC type=0),273x1024,273,273,骨架/resources/dragonbones/blockProducer,4
resources,dragonbones/blockProducer/trait/NewLifeBlockCtrlTrait/gameplay_regroupBlock_ske,DragonBones 5.5,gameplay_regroupBlock,11,9,1,9,41,28.7,1,是,109x109,PNG,109x109,0,0,骨架/resources/dragonbones/blockProducer/trait/NewLifeBlockCtrlTrait,3
resources,dragonbones/blockProducer/trait/addOutEff/gameplay_bg_chukuailizi_ske,DragonBones 5.0,armatureName,10,7,1,7,3,2.5,1,是,131x242,PNG,131x242,0,0,骨架/resources/dragonbones/blockProducer/trait/addOutEff,3
resources,dragonbones/blockPutDownEffect/gameplay_spine_blocklight_plan1,Spine 3.8.99,,3,2,1,0,8,5.6,1,是,160x138,PNG,160x138,134.0,134.0,骨架/resources/dragonbones/blockPutDownEffect,3
resources,dragonbones/boardEffect/trait/isOpenRightPut/playgame_word_ske,DragonBones 5.5,Armature,96,85,1,85,1,1.47,1,是,512x256,PNG,512x256,0,0,骨架/resources/dragonbones/boardEffect/trait/isOpenRightPut,3
resources,dragonbones/boardEffect/trait/new_clear_effect/gameplay_moreEliminate_bgPar_ske,DragonBones 5.5,armatureName,65,60,1,60,2,6.67,1,是,159x125,PNG,159x125,1044.47,1985.21,骨架/resources/dragonbones/boardEffect/trait/new_clear_effect,3
resources,dragonbones/boardEffect/trait/new_clear_effect/gameplay_moreEliminate_tilemapFrame_ske,DragonBones 5.5,armatureName,3,5,1,5,4,6.83,1,是,423x306,PNG,423x306,481.94,486.56,骨架/resources/dragonbones/boardEffect/trait/new_clear_effect,3
resources,dragonbones/commentskin/wuxingBT_ske,DragonBones 5.5,Armature,5,4,1,4,2,0.8,1,是,752x216,PKM(ETC type=0),752x1024,582,157,骨架/resources/dragonbones/commentskin,4
resources,dragonbones/dailyWinStreakState/everydaywin_ske,DragonBones 5.5,Armature,9,12,1,12,1,1.77,1,是,741x512,PNG,741x512,582,262,骨架/resources/dragonbones/dailyWinStreakState,3
resources,dragonbones/eliminate/xc_ske,DragonBones 5.5,Armature,27,26,1,26,8,8.54,1,是,490x395,PNG,490x395,1152.03,148.02,骨架/resources/dragonbones/eliminate,3
resources,dragonbones/encourage/encourage_ske,DragonBones 5.5,Armature,11,11,1,11,36,56.51,1,是,1003x1793,PKM(ETC type=0),1003x4096,1243.96,314.19,骨架/resources/dragonbones/encourage,4
resources,dragonbones/encourage/encourage_ske-lite,DragonBones 5.5,Armature,11,11,1,11,36,56.51,1,是,500x940,PNG,500x940,1143.21,158.61,骨架/resources/dragonbones/encourage,3
resources,dragonbones/encourage/trait/gameplay_dragonbone_word_ske,DragonBones 5.5,gameplay_dragonbone_word,25,21,1,21,4,3.47,1,是,473x462,PNG,473x462,242,242,骨架/resources/dragonbones/encourage/trait,3
resources,dragonbones/gamelobby/check_net_ske,DragonBones 5.5,Armature,4,3,1,3,2,0.67,1,是,949x154,PNG,949x154,664,375.49,骨架/resources/dragonbones/gamelobby,3
resources,dragonbones/gamelobby/icon_entrance_export_ske,DragonBones 5.5,Armature,15,12,1,12,1,2.33,1,是,375x378,PNG,375x378,177.76,210.29,骨架/resources/dragonbones/gamelobby,3
resources,dragonbones/gamelobby/loading_ske,DragonBones 5.5,Armature,8,7,1,7,3,2.47,1,是,485x115,PNG,485x115,297,269.72,骨架/resources/dragonbones/gamelobby,3
resources,dragonbones/loading/startload_ske,DragonBones 5.5,Armature,6,4,1,4,2,9.0,1,是,35x35,PKM(ETC type=0),35x128,0,0,骨架/resources/dragonbones/loading,4
resources,dragonbones/overRevive/result_Revive_arrow_ske,DragonBones 5.5,Armature,4,4,1,4,1,6.73,1,是,235x238,PNG,235x238,0,0,骨架/resources/dragonbones/overRevive,3
resources,dragonbones/overRevive/result_Revive_btn_ske,DragonBones 5.5,Armature,4,3,1,3,1,7.33,1,是,1000x936,PNG,1000x936,582,158,骨架/resources/dragonbones/overRevive,3
resources,dragonbones/overRevive/result_Revive_ske,DragonBones 5.5,Armature,6,4,1,4,1,0.47,1,是,496x178,PNG,496x178,0,0,骨架/resources/dragonbones/overRevive,3
resources,dragonbones/revive/btn/shipinbt_ske,DragonBones 5.5,Armature,7,6,1,6,8,5.06,1,是,1012x280,PNG,1012x280,582,158,骨架/resources/dragonbones/revive/btn,3
resources,dragonbones/revive/num/fuhuoshuzi_ske,DragonBones 5.5,Armature,6,5,1,5,1,5.57,1,是,236x231,PNG,236x231,141,141,骨架/resources/dragonbones/revive/num,3
resources,dragonbones/sand/sandCrush_main_btn_light,Spine 3.8.99,,3,2,1,2,1,3.33,1,是,1794x584,PNG,1794x584,582,158,骨架/resources/dragonbones/sand,3
resources,dragonbones/skin/comboHeart/gameplay_comboTips_model_ske,DragonBones 5.5,Armature,25,25,1,25,12,9.6,1,是,305x493,PNG,305x493,185,186.78,骨架/resources/dragonbones/skin/comboHeart,3
resources,dragonbones/skin/eliminate/gameplay_eliminate_model_ske,DragonBones 5.5,gameplay_eliminate_model,34,43,1,43,3,3.3,1,是,256x256,PNG,256x256,859.41,662.62,骨架/resources/dragonbones/skin/eliminate,3
resources,dragonbones/skin/encourage/gameplay_encourage_model_ske,DragonBones 5.5,Armature,21,101,1,101,24,38.01,1,是,640x600,PNG,640x600,1266.8,314,骨架/resources/dragonbones/skin/encourage,3
resources,dragonbones/touchEffect/gameclick_ske,DragonBones 5.5,Armature,4,3,1,3,1,0.58,1,是,256x128,PNG,256x128,107,107,骨架/resources/dragonbones/touchEffect,3
sand_mini,new/spine/minimalist_sandCrush_gameplay_arrow,Spine 3.8.99,,9,6,1,6,1,2.33,1,是,45x71,PNG,45x71,522.41,68,骨架/sand_mini/new/spine,3
sand_mini,new/spine/minimalist_sandCrush_gameplay_progressBar_efx,Spine 3.8.99,,10,7,1,7,2,5.47,1,是,108x66,PNG,108x66,122.36,64.23,骨架/sand_mini/new/spine,3
sand_mini,new/texture/guide/gameplay_teaching_arrow,Spine 3.8.99,,1,4,1,4,1,1.0,1,是,99x57,PNG,99x57,730.86,95,骨架/sand_mini/new/texture/guide,3
sandcrush,res/spine/scoreLevelUp/pixel_sandCrush_gameplay_progressBar_efx,Spine 3.8.99,,9,7,1,7,1,3.33,1,是,108x66,PNG,108x66,122.36,64.23,骨架/sandcrush/res/spine/scoreLevelUp,3
sandcrush,res/spine/scoreLevelUp/pixel_sandCrush_gameplay_progressBar_goal_efx,Spine 3.8.99,,2,1,1,1,1,0.5,1,是,152x106,PNG,152x106,152,106,骨架/sandcrush/res/spine/scoreLevelUp,3
